block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291212031,346.0,216.0,130.0,206.0,140.0,10.0,336.0,19.0,327.0,89.0,257.0,0.0,346.0,0.0,346.0,21.0,325.0,75.0,271.0,11.0,335.0
480291212032,521.0,398.0,123.0,377.0,144.0,52.0,469.0,21.0,500.0,125.0,396.0,72.0,449.0,10.0,511.0,84.0,437.0,68.0,453.0,52.0,469.0
480291212051,920.0,788.0,132.0,788.0,132.0,21.0,899.0,61.0,859.0,213.0,707.0,34.0,886.0,18.0,902.0,140.0,780.0,226.0,694.0,59.0,861.0
480291817182,543.0,508.0,35.0,508.0,35.0,69.0,474.0,123.0,420.0,119.0,424.0,11.0,532.0,0.0,543.0,40.0,503.0,97.0,446.0,179.0,364.0
480291818111,1168.0,1006.0,162.0,984.0,184.0,118.0,1050.0,195.0,973.0,310.0,858.0,49.0,1119.0,13.0,1155.0,116.0,1052.0,219.0,949.0,238.0,930.0
480291902003,429.0,414.0,15.0,414.0,15.0,103.0,326.0,116.0,313.0,53.0,376.0,0.0,429.0,0.0,429.0,15.0,414.0,44.0,385.0,11.0,418.0
480291902004,401.0,305.0,96.0,267.0,134.0,53.0,348.0,45.0,356.0,58.0,343.0,34.0,367.0,0.0,401.0,48.0,353.0,32.0,369.0,52.0,349.0
480291902001,311.0,222.0,89.0,200.0,111.0,103.0,208.0,171.0,140.0,75.0,236.0,10.0,301.0,0.0,311.0,42.0,269.0,76.0,235.0,0.0,311.0
480291802021,660.0,321.0,339.0,321.0,339.0,0.0,660.0,13.0,647.0,265.0,395.0,13.0,647.0,77.0,583.0,224.0,436.0,54.0,606.0,51.0,609.0
480291802023,703.0,415.0,288.0,415.0,288.0,0.0,703.0,42.0,661.0,265.0,438.0,112.0,591.0,25.0,678.0,261.0,442.0,186.0,517.0,59.0,644.0
480291805013,395.0,270.0,125.0,270.0,125.0,27.0,368.0,92.0,303.0,218.0,177.0,0.0,395.0,10.0,385.0,29.0,366.0,121.0,274.0,120.0,275.0
480291805012,188.0,157.0,31.0,157.0,31.0,13.0,175.0,12.0,176.0,47.0,141.0,8.0,180.0,0.0,188.0,0.0,188.0,55.0,133.0,0.0,188.0
480291805011,780.0,475.0,305.0,458.0,322.0,75.0,705.0,35.0,745.0,286.0,494.0,151.0,629.0,0.0,780.0,290.0,490.0,77.0,703.0,46.0,734.0
