block_group,household_pub_assist,count_household_pub_assist
480291706001,house_pub_assist_yes,0.0
480291706004,house_pub_assist_yes,0.0
480291706003,house_pub_assist_yes,6.0
480291707003,house_pub_assist_yes,0.0
480291707002,house_pub_assist_yes,0.0
480291212044,house_pub_assist_yes,0.0
480291212043,house_pub_assist_yes,0.0
480291404001,house_pub_assist_yes,27.0
480291404002,house_pub_assist_yes,0.0
480291504003,house_pub_assist_yes,7.0
480291215052,house_pub_assist_yes,0.0
480291403002,house_pub_assist_yes,22.0
480291403003,house_pub_assist_yes,0.0
480291520001,house_pub_assist_yes,20.0
480291701011,house_pub_assist_yes,0.0
480291701012,house_pub_assist_yes,12.0
480291718022,house_pub_assist_yes,9.0
480291718025,house_pub_assist_yes,0.0
480291718023,house_pub_assist_yes,104.0
480291408004,house_pub_assist_yes,28.0
480291408001,house_pub_assist_yes,15.0
480291408005,house_pub_assist_yes,0.0
480291408003,house_pub_assist_yes,19.0
480291408002,house_pub_assist_yes,0.0
480291505023,house_pub_assist_yes,0.0
480291505022,house_pub_assist_yes,0.0
480291505021,house_pub_assist_yes,14.0
480291507006,house_pub_assist_yes,16.0
480291507001,house_pub_assist_yes,0.0
480291507003,house_pub_assist_yes,0.0
480291601004,house_pub_assist_yes,0.0
480291601003,house_pub_assist_yes,13.0
480291601001,house_pub_assist_yes,0.0
480291813023,house_pub_assist_yes,0.0
480291809021,house_pub_assist_yes,0.0
480291809023,house_pub_assist_yes,14.0
480291809022,house_pub_assist_yes,18.0
480291809025,house_pub_assist_yes,0.0
480291810031,house_pub_assist_yes,15.0
480291810051,house_pub_assist_yes,41.0
480291810052,house_pub_assist_yes,7.0
480291815061,house_pub_assist_yes,0.0
480291815062,house_pub_assist_yes,0.0
480291817151,house_pub_assist_yes,0.0
480291203002,house_pub_assist_yes,0.0
480291203003,house_pub_assist_yes,0.0
480291203005,house_pub_assist_yes,0.0
480291205013,house_pub_assist_yes,31.0
480291205015,house_pub_assist_yes,0.0
480291205012,house_pub_assist_yes,16.0
480291205014,house_pub_assist_yes,0.0
480291211152,house_pub_assist_yes,0.0
480291211153,house_pub_assist_yes,0.0
480291211172,house_pub_assist_yes,29.0
480291211171,house_pub_assist_yes,18.0
480291720021,house_pub_assist_yes,0.0
480291817031,house_pub_assist_yes,0.0
480291817032,house_pub_assist_yes,0.0
480291803003,house_pub_assist_yes,26.0
480291803001,house_pub_assist_yes,8.0
480291803002,house_pub_assist_yes,30.0
480291817161,house_pub_assist_yes,0.0
480291910034,house_pub_assist_yes,19.0
480291910035,house_pub_assist_yes,14.0
480291910033,house_pub_assist_yes,31.0
480291910031,house_pub_assist_yes,0.0
480291910032,house_pub_assist_yes,29.0
480291214041,house_pub_assist_yes,20.0
480291214042,house_pub_assist_yes,75.0
480291214043,house_pub_assist_yes,9.0
480291313001,house_pub_assist_yes,0.0
