block_group,leave_time,count_leave_time
480291701011,time_leave_to_work_00_05,3.0
480291701012,time_leave_to_work_00_05,72.0
480291718022,time_leave_to_work_00_05,0.0
480291718025,time_leave_to_work_00_05,0.0
480291718023,time_leave_to_work_00_05,26.0
480291408004,time_leave_to_work_00_05,29.0
480291408001,time_leave_to_work_00_05,0.0
480291408005,time_leave_to_work_00_05,11.0
480291408003,time_leave_to_work_00_05,11.0
480291408002,time_leave_to_work_00_05,0.0
480291505023,time_leave_to_work_00_05,72.0
480291505022,time_leave_to_work_00_05,37.0
480291505021,time_leave_to_work_00_05,73.0
480291507006,time_leave_to_work_00_05,0.0
480291507001,time_leave_to_work_00_05,0.0
480291507003,time_leave_to_work_00_05,145.0
480291601004,time_leave_to_work_00_05,18.0
480291601003,time_leave_to_work_00_05,13.0
480291601001,time_leave_to_work_00_05,17.0
480291813023,time_leave_to_work_00_05,0.0
480291809021,time_leave_to_work_00_05,0.0
480291809023,time_leave_to_work_00_05,188.0
480291809022,time_leave_to_work_00_05,43.0
480291809025,time_leave_to_work_00_05,0.0
480291810031,time_leave_to_work_00_05,36.0
480291810051,time_leave_to_work_00_05,91.0
480291810052,time_leave_to_work_00_05,16.0
480291815061,time_leave_to_work_00_05,18.0
480291815062,time_leave_to_work_00_05,9.0
480291817151,time_leave_to_work_00_05,64.0
480291203002,time_leave_to_work_00_05,0.0
480291203003,time_leave_to_work_00_05,0.0
480291203005,time_leave_to_work_00_05,0.0
480291205013,time_leave_to_work_00_05,18.0
480291205015,time_leave_to_work_00_05,0.0
480291205012,time_leave_to_work_00_05,83.0
480291205014,time_leave_to_work_00_05,0.0
480291211152,time_leave_to_work_00_05,34.0
480291211153,time_leave_to_work_00_05,22.0
480291211172,time_leave_to_work_00_05,11.0
480291211171,time_leave_to_work_00_05,22.0
480291720021,time_leave_to_work_00_05,76.0
480291817031,time_leave_to_work_00_05,52.0
480291817032,time_leave_to_work_00_05,0.0
480291803003,time_leave_to_work_00_05,0.0
480291803001,time_leave_to_work_00_05,32.0
480291803002,time_leave_to_work_00_05,0.0
480291817161,time_leave_to_work_00_05,15.0
480291910034,time_leave_to_work_00_05,16.0
480291910035,time_leave_to_work_00_05,0.0
480291910033,time_leave_to_work_00_05,21.0
480291910031,time_leave_to_work_00_05,0.0
480291910032,time_leave_to_work_00_05,92.0
480291214041,time_leave_to_work_00_05,27.0
480291214042,time_leave_to_work_00_05,11.0
480291214043,time_leave_to_work_00_05,30.0
480291313001,time_leave_to_work_00_05,51.0
480291313004,time_leave_to_work_00_05,0.0
480291316061,time_leave_to_work_00_05,77.0
480291103003,time_leave_to_work_00_05,22.0
480291103002,time_leave_to_work_00_05,30.0
480291201001,time_leave_to_work_00_05,315.0
480291206002,time_leave_to_work_00_05,26.0
480291206003,time_leave_to_work_00_05,0.0
480291206006,time_leave_to_work_00_05,0.0
480291206005,time_leave_to_work_00_05,0.0
480291517003,time_leave_to_work_00_05,16.0
480291517002,time_leave_to_work_00_05,42.0
480291517001,time_leave_to_work_00_05,45.0
480291607013,time_leave_to_work_00_05,0.0
480291306001,time_leave_to_work_00_05,6.0
480291306003,time_leave_to_work_00_05,21.0
480291306002,time_leave_to_work_00_05,0.0
480291402003,time_leave_to_work_00_05,0.0
480291402002,time_leave_to_work_00_05,0.0
480291402001,time_leave_to_work_00_05,0.0
480291402004,time_leave_to_work_00_05,31.0
480291309001,time_leave_to_work_00_05,88.0
480291717004,time_leave_to_work_00_05,335.0
480291719035,time_leave_to_work_00_05,87.0
480291717006,time_leave_to_work_00_05,75.0
480291719032,time_leave_to_work_00_05,0.0
480291719034,time_leave_to_work_00_05,0.0
480291509002,time_leave_to_work_00_05,0.0
480291509001,time_leave_to_work_00_05,9.0
480291509005,time_leave_to_work_00_05,90.0
480291705003,time_leave_to_work_00_05,0.0
480291705004,time_leave_to_work_00_05,9.0
480291705002,time_leave_to_work_00_05,51.0
480291805042,time_leave_to_work_00_05,36.0
480291205025,time_leave_to_work_00_05,26.0
480291205023,time_leave_to_work_00_05,8.0
480291205026,time_leave_to_work_00_05,1.0
480291205024,time_leave_to_work_00_05,0.0
480291207012,time_leave_to_work_00_05,97.0
480291207011,time_leave_to_work_00_05,10.0
480291302002,time_leave_to_work_00_05,5.0
480291410003,time_leave_to_work_00_05,7.0
480291410002,time_leave_to_work_00_05,0.0
480291516001,time_leave_to_work_00_05,27.0
480291516004,time_leave_to_work_00_05,47.0
480291516002,time_leave_to_work_00_05,30.0
480291817051,time_leave_to_work_00_05,0.0
480291817052,time_leave_to_work_00_05,0.0
480291512002,time_leave_to_work_00_05,94.0
480291606001,time_leave_to_work_00_05,0.0
480291606003,time_leave_to_work_00_05,18.0
480291419003,time_leave_to_work_00_05,27.0
480291419002,time_leave_to_work_00_05,87.0
480291515003,time_leave_to_work_00_05,0.0
480291515002,time_leave_to_work_00_05,11.0
480291603003,time_leave_to_work_00_05,9.0
480291603002,time_leave_to_work_00_05,50.0
480291603005,time_leave_to_work_00_05,42.0
480291612001,time_leave_to_work_00_05,8.0
480291612002,time_leave_to_work_00_05,53.0
480291804003,time_leave_to_work_00_05,0.0
480291804001,time_leave_to_work_00_05,11.0
480291807012,time_leave_to_work_00_05,109.0
480291811004,time_leave_to_work_00_05,0.0
480291811002,time_leave_to_work_00_05,0.0
480291811003,time_leave_to_work_00_05,45.0
480291909015,time_leave_to_work_00_05,25.0
480291909013,time_leave_to_work_00_05,0.0
480291809014,time_leave_to_work_00_05,33.0
480291813031,time_leave_to_work_00_05,18.0
480291815041,time_leave_to_work_00_05,15.0
480291815042,time_leave_to_work_00_05,14.0
480291816012,time_leave_to_work_00_05,19.0
480291906011,time_leave_to_work_00_05,47.0
480291818091,time_leave_to_work_00_05,32.0
480291818092,time_leave_to_work_00_05,14.0
480291818094,time_leave_to_work_00_05,165.0
480291906013,time_leave_to_work_00_05,0.0
480291910041,time_leave_to_work_00_05,0.0
480291910043,time_leave_to_work_00_05,7.0
480291813022,time_leave_to_work_00_05,100.0
480291212063,time_leave_to_work_00_05,0.0
480291212061,time_leave_to_work_00_05,0.0
480291212065,time_leave_to_work_00_05,21.0
480291212062,time_leave_to_work_00_05,25.0
480291214022,time_leave_to_work_00_05,20.0
480291214021,time_leave_to_work_00_05,170.0
480291218031,time_leave_to_work_00_05,58.0
480291218032,time_leave_to_work_00_05,0.0
480291218033,time_leave_to_work_00_05,43.0
480291218041,time_leave_to_work_00_05,49.0
480291218042,time_leave_to_work_00_05,19.0
