block_group,household_wage_sal,count_household_wage_sal
480291516004,house_wage_sal_yes,292.0
480291516002,house_wage_sal_yes,167.0
480291817051,house_wage_sal_yes,636.0
480291817052,house_wage_sal_yes,484.0
480291512002,house_wage_sal_yes,864.0
480291606001,house_wage_sal_yes,294.0
480291606003,house_wage_sal_yes,433.0
480291419003,house_wage_sal_yes,297.0
480291419002,house_wage_sal_yes,490.0
480291515003,house_wage_sal_yes,241.0
480291515002,house_wage_sal_yes,196.0
480291603003,house_wage_sal_yes,154.0
480291603002,house_wage_sal_yes,215.0
480291603005,house_wage_sal_yes,295.0
480291612001,house_wage_sal_yes,178.0
480291612002,house_wage_sal_yes,444.0
480291804003,house_wage_sal_yes,148.0
480291804001,house_wage_sal_yes,480.0
480291807012,house_wage_sal_yes,1131.0
480291811004,house_wage_sal_yes,270.0
480291811002,house_wage_sal_yes,294.0
480291811003,house_wage_sal_yes,651.0
480291909015,house_wage_sal_yes,303.0
480291909013,house_wage_sal_yes,203.0
480291809014,house_wage_sal_yes,252.0
480291813031,house_wage_sal_yes,531.0
480291815041,house_wage_sal_yes,609.0
480291815042,house_wage_sal_yes,1086.0
480291816012,house_wage_sal_yes,564.0
480291906011,house_wage_sal_yes,367.0
480291818091,house_wage_sal_yes,322.0
480291818092,house_wage_sal_yes,715.0
480291818094,house_wage_sal_yes,419.0
480291906013,house_wage_sal_yes,196.0
480291910041,house_wage_sal_yes,360.0
480291910043,house_wage_sal_yes,204.0
480291813022,house_wage_sal_yes,938.0
480291212063,house_wage_sal_yes,165.0
480291212061,house_wage_sal_yes,329.0
480291212065,house_wage_sal_yes,509.0
480291212062,house_wage_sal_yes,319.0
480291214022,house_wage_sal_yes,284.0
480291214021,house_wage_sal_yes,1396.0
480291218031,house_wage_sal_yes,450.0
480291218032,house_wage_sal_yes,178.0
480291218033,house_wage_sal_yes,676.0
480291218041,house_wage_sal_yes,553.0
480291218042,house_wage_sal_yes,733.0
480291218043,house_wage_sal_yes,356.0
480291308001,house_wage_sal_yes,817.0
480291308004,house_wage_sal_yes,268.0
480291308002,house_wage_sal_yes,227.0
480291308003,house_wage_sal_yes,89.0
480291311003,house_wage_sal_yes,194.0
480291311002,house_wage_sal_yes,130.0
480291602002,house_wage_sal_yes,252.0
480291817134,house_wage_sal_yes,441.0
480291817132,house_wage_sal_yes,433.0
480291817133,house_wage_sal_yes,537.0
480291815054,house_wage_sal_yes,356.0
480291815053,house_wage_sal_yes,261.0
480291815051,house_wage_sal_yes,238.0
480291817042,house_wage_sal_yes,295.0
480291817044,house_wage_sal_yes,241.0
480291817111,house_wage_sal_yes,741.0
480291907002,house_wage_sal_yes,244.0
480291907003,house_wage_sal_yes,405.0
480291607011,house_wage_sal_yes,286.0
480291607012,house_wage_sal_yes,285.0
480291718011,house_wage_sal_yes,281.0
480291718013,house_wage_sal_yes,399.0
480291718014,house_wage_sal_yes,234.0
480291718012,house_wage_sal_yes,380.0
480291802013,house_wage_sal_yes,538.0
480291802012,house_wage_sal_yes,206.0
480291802014,house_wage_sal_yes,372.0
480291802011,house_wage_sal_yes,142.0
480291812001,house_wage_sal_yes,172.0
480291812004,house_wage_sal_yes,512.0
480291812002,house_wage_sal_yes,224.0
480291812005,house_wage_sal_yes,274.0
480291514004,house_wage_sal_yes,196.0
480291511003,house_wage_sal_yes,139.0
480291511001,house_wage_sal_yes,118.0
480291514001,house_wage_sal_yes,172.0
480291514002,house_wage_sal_yes,267.0
