block_group,commute_time,count_commute_time
480291809014,commute_time_tot_00_14,229.0
480291813031,commute_time_tot_00_14,264.0
480291815041,commute_time_tot_00_14,269.0
480291815042,commute_time_tot_00_14,484.0
480291816012,commute_time_tot_00_14,145.0
480291906011,commute_time_tot_00_14,357.0
480291818091,commute_time_tot_00_14,36.0
480291818092,commute_time_tot_00_14,295.0
480291818094,commute_time_tot_00_14,127.0
480291906013,commute_time_tot_00_14,116.0
480291910041,commute_time_tot_00_14,100.0
480291910043,commute_time_tot_00_14,46.0
480291813022,commute_time_tot_00_14,384.0
480291212063,commute_time_tot_00_14,62.0
480291212061,commute_time_tot_00_14,78.0
480291212065,commute_time_tot_00_14,496.0
480291212062,commute_time_tot_00_14,82.0
480291214022,commute_time_tot_00_14,126.0
480291214021,commute_time_tot_00_14,327.0
480291218031,commute_time_tot_00_14,137.0
480291218032,commute_time_tot_00_14,101.0
480291218033,commute_time_tot_00_14,244.0
480291218041,commute_time_tot_00_14,320.0
480291218042,commute_time_tot_00_14,394.0
480291218043,commute_time_tot_00_14,102.0
480291308001,commute_time_tot_00_14,298.0
480291308004,commute_time_tot_00_14,115.0
480291308002,commute_time_tot_00_14,72.0
480291308003,commute_time_tot_00_14,24.0
480291311003,commute_time_tot_00_14,28.0
480291311002,commute_time_tot_00_14,123.0
480291602002,commute_time_tot_00_14,109.0
480291817134,commute_time_tot_00_14,96.0
480291817132,commute_time_tot_00_14,42.0
480291817133,commute_time_tot_00_14,79.0
480291815054,commute_time_tot_00_14,109.0
480291815053,commute_time_tot_00_14,127.0
480291815051,commute_time_tot_00_14,110.0
480291817042,commute_time_tot_00_14,45.0
480291817044,commute_time_tot_00_14,85.0
480291817111,commute_time_tot_00_14,97.0
480291907002,commute_time_tot_00_14,140.0
480291907003,commute_time_tot_00_14,103.0
480291607011,commute_time_tot_00_14,112.0
480291607012,commute_time_tot_00_14,148.0
480291718011,commute_time_tot_00_14,105.0
480291718013,commute_time_tot_00_14,64.0
480291718014,commute_time_tot_00_14,36.0
480291718012,commute_time_tot_00_14,239.0
480291802013,commute_time_tot_00_14,144.0
480291802012,commute_time_tot_00_14,144.0
480291802014,commute_time_tot_00_14,156.0
480291802011,commute_time_tot_00_14,42.0
480291812001,commute_time_tot_00_14,52.0
480291812004,commute_time_tot_00_14,88.0
480291812002,commute_time_tot_00_14,13.0
480291812005,commute_time_tot_00_14,104.0
480291514004,commute_time_tot_00_14,47.0
480291511003,commute_time_tot_00_14,67.0
480291511001,commute_time_tot_00_14,11.0
480291514001,commute_time_tot_00_14,30.0
480291514002,commute_time_tot_00_14,168.0
480291905012,commute_time_tot_00_14,173.0
480291905013,commute_time_tot_00_14,125.0
480291905011,commute_time_tot_00_14,67.0
480291908001,commute_time_tot_00_14,115.0
480291908002,commute_time_tot_00_14,169.0
480291909011,commute_time_tot_00_14,116.0
480291909012,commute_time_tot_00_14,273.0
