block_group,f_biz_type,f_count_biz_type
480291214042,workers_f_for_profit,244.0
480291214043,workers_f_for_profit,114.0
480291313001,workers_f_for_profit,166.0
480291313004,workers_f_for_profit,186.0
480291316061,workers_f_for_profit,228.0
480291103003,workers_f_for_profit,79.0
480291103002,workers_f_for_profit,155.0
480291201001,workers_f_for_profit,177.0
480291206002,workers_f_for_profit,113.0
480291206003,workers_f_for_profit,140.0
480291206006,workers_f_for_profit,11.0
480291206005,workers_f_for_profit,63.0
480291517003,workers_f_for_profit,467.0
480291517002,workers_f_for_profit,233.0
480291517001,workers_f_for_profit,206.0
480291607013,workers_f_for_profit,101.0
480291306001,workers_f_for_profit,128.0
480291306003,workers_f_for_profit,115.0
480291306002,workers_f_for_profit,152.0
480291402003,workers_f_for_profit,136.0
480291402002,workers_f_for_profit,102.0
480291402001,workers_f_for_profit,124.0
480291402004,workers_f_for_profit,119.0
480291309001,workers_f_for_profit,477.0
480291717004,workers_f_for_profit,134.0
480291719035,workers_f_for_profit,280.0
480291717006,workers_f_for_profit,105.0
480291719032,workers_f_for_profit,160.0
480291719034,workers_f_for_profit,183.0
480291509002,workers_f_for_profit,157.0
480291509001,workers_f_for_profit,235.0
480291509005,workers_f_for_profit,298.0
480291705003,workers_f_for_profit,136.0
480291705004,workers_f_for_profit,131.0
480291705002,workers_f_for_profit,317.0
480291805042,workers_f_for_profit,372.0
480291205025,workers_f_for_profit,112.0
480291205023,workers_f_for_profit,82.0
480291205026,workers_f_for_profit,189.0
480291205024,workers_f_for_profit,122.0
480291207012,workers_f_for_profit,199.0
480291207011,workers_f_for_profit,155.0
480291302002,workers_f_for_profit,111.0
480291410003,workers_f_for_profit,268.0
480291410002,workers_f_for_profit,126.0
480291516001,workers_f_for_profit,249.0
480291516004,workers_f_for_profit,353.0
480291516002,workers_f_for_profit,72.0
480291817051,workers_f_for_profit,314.0
480291817052,workers_f_for_profit,213.0
480291512002,workers_f_for_profit,566.0
480291606001,workers_f_for_profit,179.0
480291606003,workers_f_for_profit,264.0
480291419003,workers_f_for_profit,82.0
480291419002,workers_f_for_profit,329.0
480291515003,workers_f_for_profit,187.0
480291515002,workers_f_for_profit,113.0
480291603003,workers_f_for_profit,112.0
480291603002,workers_f_for_profit,135.0
480291603005,workers_f_for_profit,271.0
480291612001,workers_f_for_profit,56.0
480291612002,workers_f_for_profit,406.0
480291804003,workers_f_for_profit,93.0
480291804001,workers_f_for_profit,358.0
480291807012,workers_f_for_profit,554.0
480291811004,workers_f_for_profit,91.0
480291811002,workers_f_for_profit,75.0
480291811003,workers_f_for_profit,363.0
480291909015,workers_f_for_profit,124.0
480291909013,workers_f_for_profit,89.0
480291809014,workers_f_for_profit,70.0
480291813031,workers_f_for_profit,322.0
480291815041,workers_f_for_profit,319.0
480291815042,workers_f_for_profit,603.0
480291816012,workers_f_for_profit,324.0
480291906011,workers_f_for_profit,227.0
480291818091,workers_f_for_profit,171.0
480291818092,workers_f_for_profit,414.0
480291818094,workers_f_for_profit,229.0
480291906013,workers_f_for_profit,110.0
480291910041,workers_f_for_profit,269.0
480291910043,workers_f_for_profit,186.0
480291813022,workers_f_for_profit,434.0
480291212063,workers_f_for_profit,92.0
480291212061,workers_f_for_profit,232.0
480291212065,workers_f_for_profit,577.0
480291212062,workers_f_for_profit,208.0
480291214022,workers_f_for_profit,203.0
480291214021,workers_f_for_profit,856.0
480291218031,workers_f_for_profit,218.0
480291218032,workers_f_for_profit,148.0
480291218033,workers_f_for_profit,517.0
480291218041,workers_f_for_profit,502.0
480291218042,workers_f_for_profit,564.0
480291218043,workers_f_for_profit,250.0
480291308001,workers_f_for_profit,472.0
480291308004,workers_f_for_profit,160.0
480291308002,workers_f_for_profit,162.0
480291308003,workers_f_for_profit,61.0
480291311003,workers_f_for_profit,117.0
480291311002,workers_f_for_profit,99.0
480291602002,workers_f_for_profit,225.0
480291817134,workers_f_for_profit,253.0
480291817132,workers_f_for_profit,238.0
480291817133,workers_f_for_profit,286.0
480291815054,workers_f_for_profit,231.0
480291815053,workers_f_for_profit,113.0
480291815051,workers_f_for_profit,96.0
480291817042,workers_f_for_profit,337.0
480291817044,workers_f_for_profit,228.0
480291817111,workers_f_for_profit,379.0
480291907002,workers_f_for_profit,100.0
480291907003,workers_f_for_profit,286.0
480291607011,workers_f_for_profit,131.0
480291607012,workers_f_for_profit,315.0
480291718011,workers_f_for_profit,177.0
480291718013,workers_f_for_profit,230.0
480291718014,workers_f_for_profit,136.0
480291718012,workers_f_for_profit,282.0
480291802013,workers_f_for_profit,260.0
480291802012,workers_f_for_profit,94.0
480291802014,workers_f_for_profit,192.0
480291802011,workers_f_for_profit,104.0
480291812001,workers_f_for_profit,65.0
480291812004,workers_f_for_profit,179.0
480291812002,workers_f_for_profit,59.0
480291812005,workers_f_for_profit,240.0
480291514004,workers_f_for_profit,141.0
480291511003,workers_f_for_profit,63.0
480291511001,workers_f_for_profit,23.0
480291514001,workers_f_for_profit,58.0
480291514002,workers_f_for_profit,195.0
480291905012,workers_f_for_profit,393.0
480291905013,workers_f_for_profit,96.0
480291905011,workers_f_for_profit,59.0
480291908001,workers_f_for_profit,113.0
480291908002,workers_f_for_profit,101.0
480291909011,workers_f_for_profit,193.0
480291909012,workers_f_for_profit,537.0
480291909021,workers_f_for_profit,336.0
480291909023,workers_f_for_profit,47.0
480291810012,workers_f_for_profit,330.0
480291810042,workers_f_for_profit,612.0
480291810041,workers_f_for_profit,390.0
480291901004,workers_f_for_profit,95.0
480291901003,workers_f_for_profit,128.0
480291901002,workers_f_for_profit,59.0
480291719021,workers_f_for_profit,418.0
480291311001,workers_f_for_profit,85.0
480291203008,workers_f_for_profit,72.0
480291203007,workers_f_for_profit,76.0
480291501001,workers_f_for_profit,188.0
