block_group,household_self_emp,count_household_self_emp
480291513022,house_self_emp_yes,32.0
480291521003,house_self_emp_yes,23.0
480291521004,house_self_emp_yes,52.0
480291522011,house_self_emp_yes,188.0
480291522012,house_self_emp_yes,145.0
480291522013,house_self_emp_yes,33.0
480291522021,house_self_emp_yes,95.0
480291605011,house_self_emp_yes,0.0
480291605012,house_self_emp_yes,26.0
480291605021,house_self_emp_yes,33.0
480291609013,house_self_emp_yes,24.0
480291605022,house_self_emp_yes,30.0
480291605024,house_self_emp_yes,14.0
480291609011,house_self_emp_yes,28.0
480291609021,house_self_emp_yes,65.0
480291609023,house_self_emp_yes,21.0
480291613022,house_self_emp_yes,69.0
480291613032,house_self_emp_yes,72.0
480291613041,house_self_emp_yes,35.0
480291614001,house_self_emp_yes,49.0
480291615031,house_self_emp_yes,57.0
480291615033,house_self_emp_yes,8.0
480291615041,house_self_emp_yes,25.0
480291618011,house_self_emp_yes,89.0
480291618012,house_self_emp_yes,0.0
480291618022,house_self_emp_yes,85.0
480291619011,house_self_emp_yes,30.0
480291619022,house_self_emp_yes,103.0
480291619023,house_self_emp_yes,87.0
480291620032,house_self_emp_yes,48.0
480291620033,house_self_emp_yes,55.0
480291620042,house_self_emp_yes,77.0
480291713011,house_self_emp_yes,29.0
480291713021,house_self_emp_yes,19.0
480291713022,house_self_emp_yes,40.0
480291716011,house_self_emp_yes,47.0
480291716013,house_self_emp_yes,21.0
480291716021,house_self_emp_yes,103.0
480291719022,house_self_emp_yes,41.0
480291719023,house_self_emp_yes,68.0
480291719131,house_self_emp_yes,132.0
480291719132,house_self_emp_yes,45.0
480291719142,house_self_emp_yes,183.0
480291719143,house_self_emp_yes,35.0
480291719161,house_self_emp_yes,119.0
480291719162,house_self_emp_yes,28.0
480291719171,house_self_emp_yes,64.0
480291719172,house_self_emp_yes,74.0
480291215053,house_self_emp_yes,73.0
480291216051,house_self_emp_yes,42.0
480291216052,house_self_emp_yes,16.0
480291216062,house_self_emp_yes,139.0
480291216063,house_self_emp_yes,14.0
480291217011,house_self_emp_yes,12.0
480291217012,house_self_emp_yes,42.0
480291217014,house_self_emp_yes,81.0
480291217021,house_self_emp_yes,141.0
480291217023,house_self_emp_yes,91.0
480291218081,house_self_emp_yes,15.0
480291218091,house_self_emp_yes,7.0
480291218092,house_self_emp_yes,80.0
480291218101,house_self_emp_yes,161.0
480291218102,house_self_emp_yes,47.0
480291218112,house_self_emp_yes,27.0
480291218121,house_self_emp_yes,137.0
480291219032,house_self_emp_yes,151.0
480291218123,house_self_emp_yes,0.0
480291218124,house_self_emp_yes,28.0
480291219031,house_self_emp_yes,130.0
480291219042,house_self_emp_yes,68.0
480291219051,house_self_emp_yes,56.0
480291219061,house_self_emp_yes,123.0
480291219062,house_self_emp_yes,123.0
480291219072,house_self_emp_yes,422.0
480291219081,house_self_emp_yes,76.0
480291209024,house_self_emp_yes,87.0
480291211103,house_self_emp_yes,80.0
480291211183,house_self_emp_yes,148.0
480291211192,house_self_emp_yes,102.0
480291211193,house_self_emp_yes,56.0
480291211202,house_self_emp_yes,65.0
480291211211,house_self_emp_yes,45.0
480291211212,house_self_emp_yes,66.0
480291211221,house_self_emp_yes,45.0
480291211222,house_self_emp_yes,37.0
480291211223,house_self_emp_yes,108.0
480291215014,house_self_emp_yes,38.0
480291713023,house_self_emp_yes,60.0
480291713024,house_self_emp_yes,11.0
480291714012,house_self_emp_yes,19.0
480291714021,house_self_emp_yes,35.0
480291714023,house_self_emp_yes,61.0
480291715011,house_self_emp_yes,38.0
480291715021,house_self_emp_yes,14.0
480291715022,house_self_emp_yes,22.0
480291715024,house_self_emp_yes,43.0
480291914121,house_self_emp_yes,169.0
480291914131,house_self_emp_yes,157.0
480291914132,house_self_emp_yes,168.0
480291915031,house_self_emp_yes,197.0
480291915032,house_self_emp_yes,69.0
480291915033,house_self_emp_yes,27.0
480291915041,house_self_emp_yes,88.0
480291915042,house_self_emp_yes,135.0
480291915051,house_self_emp_yes,50.0
480291915052,house_self_emp_yes,114.0
480291915061,house_self_emp_yes,88.0
480291915062,house_self_emp_yes,152.0
480291915063,house_self_emp_yes,93.0
480291917012,house_self_emp_yes,50.0
480291917021,house_self_emp_yes,102.0
480291917023,house_self_emp_yes,66.0
480291917024,house_self_emp_yes,59.0
480291918061,house_self_emp_yes,16.0
480291918062,house_self_emp_yes,101.0
480291918071,house_self_emp_yes,132.0
480291918072,house_self_emp_yes,60.0
480291918082,house_self_emp_yes,40.0
480291918091,house_self_emp_yes,270.0
480291918101,house_self_emp_yes,189.0
480291918102,house_self_emp_yes,93.0
480291918121,house_self_emp_yes,69.0
480291918122,house_self_emp_yes,69.0
480291918132,house_self_emp_yes,64.0
480291821062,house_self_emp_yes,139.0
480291905031,house_self_emp_yes,90.0
480291905033,house_self_emp_yes,64.0
480291905041,house_self_emp_yes,57.0
480291906031,house_self_emp_yes,39.0
480291906032,house_self_emp_yes,93.0
480291906042,house_self_emp_yes,44.0
480291906043,house_self_emp_yes,42.0
480291910052,house_self_emp_yes,28.0
480291910061,house_self_emp_yes,51.0
480291910063,house_self_emp_yes,41.0
480291801014,house_self_emp_yes,0.0
480291801015,house_self_emp_yes,36.0
480291801021,house_self_emp_yes,37.0
480291806044,house_self_emp_yes,16.0
480291801022,house_self_emp_yes,65.0
480291806041,house_self_emp_yes,99.0
480291806042,house_self_emp_yes,0.0
480291806045,house_self_emp_yes,0.0
480291810033,house_self_emp_yes,14.0
480291813032,house_self_emp_yes,17.0
480291814032,house_self_emp_yes,172.0
480291814033,house_self_emp_yes,19.0
480291814042,house_self_emp_yes,72.0
480291815032,house_self_emp_yes,90.0
480291817112,house_self_emp_yes,83.0
480291817113,house_self_emp_yes,135.0
480291817153,house_self_emp_yes,45.0
480291817162,house_self_emp_yes,53.0
480291817163,house_self_emp_yes,125.0
480291817164,house_self_emp_yes,49.0
480291817183,house_self_emp_yes,20.0
480291817201,house_self_emp_yes,162.0
480291817202,house_self_emp_yes,16.0
480291817211,house_self_emp_yes,24.0
480291817212,house_self_emp_yes,86.0
480291817231,house_self_emp_yes,33.0
480291817221,house_self_emp_yes,83.0
480291817222,house_self_emp_yes,80.0
480291817223,house_self_emp_yes,77.0
480291817232,house_self_emp_yes,9.0
480291817233,house_self_emp_yes,49.0
480291817241,house_self_emp_yes,144.0
480291817242,house_self_emp_yes,58.0
480291817251,house_self_emp_yes,58.0
480291817261,house_self_emp_yes,27.0
480291817262,house_self_emp_yes,203.0
480291817271,house_self_emp_yes,77.0
480291817272,house_self_emp_yes,8.0
480291817282,house_self_emp_yes,126.0
480291817291,house_self_emp_yes,300.0
480291817302,house_self_emp_yes,125.0
480291817311,house_self_emp_yes,67.0
480291817313,house_self_emp_yes,74.0
480291817314,house_self_emp_yes,96.0
480291818131,house_self_emp_yes,118.0
480291818133,house_self_emp_yes,18.0
480291818141,house_self_emp_yes,88.0
480291818151,house_self_emp_yes,74.0
480291818152,house_self_emp_yes,12.0
480291818162,house_self_emp_yes,134.0
480291818171,house_self_emp_yes,61.0
480291818181,house_self_emp_yes,99.0
480291818182,house_self_emp_yes,32.0
480291818191,house_self_emp_yes,20.0
480291818192,house_self_emp_yes,204.0
480291818202,house_self_emp_yes,112.0
480291818211,house_self_emp_yes,53.0
480291818221,house_self_emp_yes,48.0
480291818222,house_self_emp_yes,33.0
480291818231,house_self_emp_yes,92.0
480291818241,house_self_emp_yes,82.0
480291912012,house_self_emp_yes,99.0
480291910064,house_self_emp_yes,70.0
480291912011,house_self_emp_yes,80.0
480291912021,house_self_emp_yes,212.0
480291912022,house_self_emp_yes,0.0
480291912023,house_self_emp_yes,14.0
480291912024,house_self_emp_yes,39.0
480291913031,house_self_emp_yes,83.0
480291913041,house_self_emp_yes,81.0
480291913042,house_self_emp_yes,26.0
480291914062,house_self_emp_yes,103.0
