block_group,household_soc_sec,count_household_soc_sec
480291506004,house_soc_sec_yes,206.0
480291506003,house_soc_sec_yes,73.0
480291511007,house_soc_sec_yes,67.0
480291511005,house_soc_sec_yes,118.0
480291511004,house_soc_sec_yes,107.0
480291918042,house_soc_sec_yes,194.0
480291918041,house_soc_sec_yes,112.0
480291210004,house_soc_sec_yes,21.0
480291210003,house_soc_sec_yes,213.0
480291210005,house_soc_sec_yes,220.0
480291210006,house_soc_sec_yes,207.0
480291211102,house_soc_sec_yes,149.0
480291215062,house_soc_sec_yes,97.0
480291215061,house_soc_sec_yes,201.0
480291305001,house_soc_sec_yes,44.0
480291305003,house_soc_sec_yes,265.0
480291305002,house_soc_sec_yes,89.0
480291305004,house_soc_sec_yes,33.0
480291904003,house_soc_sec_yes,127.0
480291211081,house_soc_sec_yes,148.0
480291211083,house_soc_sec_yes,129.0
480291211084,house_soc_sec_yes,240.0
480291207015,house_soc_sec_yes,156.0
480291215042,house_soc_sec_yes,125.0
480291215041,house_soc_sec_yes,142.0
480291503001,house_soc_sec_yes,70.0
480291503004,house_soc_sec_yes,83.0
480291503003,house_soc_sec_yes,86.0
480291602003,house_soc_sec_yes,122.0
480291508002,house_soc_sec_yes,80.0
480291508003,house_soc_sec_yes,77.0
480291712003,house_soc_sec_yes,172.0
480291418001,house_soc_sec_yes,151.0
480291418002,house_soc_sec_yes,105.0
480291512005,house_soc_sec_yes,213.0
480291512003,house_soc_sec_yes,156.0
480291512001,house_soc_sec_yes,60.0
480291107001,house_soc_sec_yes,309.0
480291904001,house_soc_sec_yes,71.0
480291719121,house_soc_sec_yes,433.0
480291817122,house_soc_sec_yes,217.0
480291816023,house_soc_sec_yes,168.0
480291816021,house_soc_sec_yes,109.0
480291818081,house_soc_sec_yes,217.0
480291821021,house_soc_sec_yes,94.0
480291911011,house_soc_sec_yes,138.0
480291911012,house_soc_sec_yes,102.0
480291219082,house_soc_sec_yes,108.0
480291219091,house_soc_sec_yes,213.0
480291219092,house_soc_sec_yes,191.0
480291219101,house_soc_sec_yes,377.0
480291219102,house_soc_sec_yes,83.0
480291304011,house_soc_sec_yes,96.0
480291304012,house_soc_sec_yes,145.0
480291304013,house_soc_sec_yes,111.0
480291304014,house_soc_sec_yes,93.0
480291304021,house_soc_sec_yes,74.0
480291304022,house_soc_sec_yes,102.0
480291304023,house_soc_sec_yes,196.0
480291314011,house_soc_sec_yes,387.0
480291314012,house_soc_sec_yes,342.0
480291314021,house_soc_sec_yes,45.0
480291719182,house_soc_sec_yes,64.0
480291719184,house_soc_sec_yes,58.0
480291719191,house_soc_sec_yes,156.0
