block_group,household_earnings,count_household_earnings
480291207012,house_earnings_yes,278.0
480291207011,house_earnings_yes,290.0
480291302002,house_earnings_yes,141.0
480291410003,house_earnings_yes,395.0
480291410002,house_earnings_yes,420.0
480291516001,house_earnings_yes,714.0
480291516004,house_earnings_yes,322.0
480291516002,house_earnings_yes,167.0
480291817051,house_earnings_yes,636.0
480291817052,house_earnings_yes,498.0
480291512002,house_earnings_yes,878.0
480291606001,house_earnings_yes,294.0
480291606003,house_earnings_yes,493.0
480291419003,house_earnings_yes,297.0
480291419002,house_earnings_yes,556.0
480291515003,house_earnings_yes,262.0
480291515002,house_earnings_yes,215.0
480291603003,house_earnings_yes,154.0
480291603002,house_earnings_yes,215.0
480291603005,house_earnings_yes,305.0
480291612001,house_earnings_yes,200.0
480291612002,house_earnings_yes,454.0
480291804003,house_earnings_yes,164.0
480291804001,house_earnings_yes,501.0
480291807012,house_earnings_yes,1145.0
480291811004,house_earnings_yes,270.0
480291811002,house_earnings_yes,311.0
480291811003,house_earnings_yes,724.0
480291909015,house_earnings_yes,303.0
480291909013,house_earnings_yes,203.0
480291809014,house_earnings_yes,264.0
480291813031,house_earnings_yes,558.0
480291815041,house_earnings_yes,609.0
480291815042,house_earnings_yes,1160.0
480291816012,house_earnings_yes,587.0
480291906011,house_earnings_yes,378.0
480291818091,house_earnings_yes,359.0
480291818092,house_earnings_yes,730.0
480291818094,house_earnings_yes,452.0
480291906013,house_earnings_yes,218.0
480291910041,house_earnings_yes,384.0
480291910043,house_earnings_yes,212.0
480291813022,house_earnings_yes,938.0
480291212063,house_earnings_yes,181.0
480291212061,house_earnings_yes,329.0
480291212065,house_earnings_yes,543.0
480291212062,house_earnings_yes,319.0
480291214022,house_earnings_yes,303.0
480291214021,house_earnings_yes,1480.0
480291218031,house_earnings_yes,466.0
480291218032,house_earnings_yes,184.0
480291218033,house_earnings_yes,703.0
480291218041,house_earnings_yes,615.0
480291218042,house_earnings_yes,733.0
480291218043,house_earnings_yes,434.0
480291308001,house_earnings_yes,836.0
480291308004,house_earnings_yes,268.0
480291308002,house_earnings_yes,236.0
480291308003,house_earnings_yes,89.0
480291311003,house_earnings_yes,213.0
480291311002,house_earnings_yes,130.0
480291602002,house_earnings_yes,263.0
480291817134,house_earnings_yes,441.0
480291817132,house_earnings_yes,433.0
480291817133,house_earnings_yes,548.0
480291815054,house_earnings_yes,356.0
480291815053,house_earnings_yes,289.0
480291815051,house_earnings_yes,247.0
480291817042,house_earnings_yes,303.0
480291817044,house_earnings_yes,241.0
480291817111,house_earnings_yes,795.0
480291907002,house_earnings_yes,264.0
480291907003,house_earnings_yes,413.0
480291607011,house_earnings_yes,286.0
480291607012,house_earnings_yes,306.0
480291718011,house_earnings_yes,281.0
480291718013,house_earnings_yes,406.0
480291718014,house_earnings_yes,242.0
480291718012,house_earnings_yes,392.0
480291802013,house_earnings_yes,556.0
480291802012,house_earnings_yes,236.0
480291802014,house_earnings_yes,372.0
480291802011,house_earnings_yes,152.0
480291812001,house_earnings_yes,172.0
480291812004,house_earnings_yes,512.0
480291812002,house_earnings_yes,239.0
