block_group,commute_time_bus,count_commute_time_bus
480291719034,commute_time_bus_00_14,0.0
480291509002,commute_time_bus_00_14,0.0
480291509001,commute_time_bus_00_14,0.0
480291509005,commute_time_bus_00_14,0.0
480291705003,commute_time_bus_00_14,0.0
480291705004,commute_time_bus_00_14,0.0
480291705002,commute_time_bus_00_14,0.0
480291805042,commute_time_bus_00_14,0.0
480291205025,commute_time_bus_00_14,5.0
480291205023,commute_time_bus_00_14,0.0
480291205026,commute_time_bus_00_14,0.0
480291205024,commute_time_bus_00_14,0.0
480291207012,commute_time_bus_00_14,0.0
480291207011,commute_time_bus_00_14,0.0
480291302002,commute_time_bus_00_14,11.0
480291410003,commute_time_bus_00_14,19.0
480291410002,commute_time_bus_00_14,0.0
480291516001,commute_time_bus_00_14,0.0
480291516004,commute_time_bus_00_14,0.0
480291516002,commute_time_bus_00_14,0.0
480291817051,commute_time_bus_00_14,0.0
480291817052,commute_time_bus_00_14,0.0
480291512002,commute_time_bus_00_14,0.0
480291606001,commute_time_bus_00_14,0.0
480291606003,commute_time_bus_00_14,0.0
480291419003,commute_time_bus_00_14,0.0
480291419002,commute_time_bus_00_14,0.0
480291515003,commute_time_bus_00_14,0.0
480291515002,commute_time_bus_00_14,0.0
480291603003,commute_time_bus_00_14,0.0
480291603002,commute_time_bus_00_14,0.0
480291603005,commute_time_bus_00_14,0.0
480291612001,commute_time_bus_00_14,0.0
480291612002,commute_time_bus_00_14,0.0
480291804003,commute_time_bus_00_14,0.0
480291804001,commute_time_bus_00_14,0.0
480291807012,commute_time_bus_00_14,0.0
480291811004,commute_time_bus_00_14,0.0
480291811002,commute_time_bus_00_14,0.0
480291811003,commute_time_bus_00_14,0.0
480291909015,commute_time_bus_00_14,0.0
480291909013,commute_time_bus_00_14,0.0
480291809014,commute_time_bus_00_14,0.0
480291813031,commute_time_bus_00_14,0.0
480291815041,commute_time_bus_00_14,0.0
480291815042,commute_time_bus_00_14,0.0
480291816012,commute_time_bus_00_14,0.0
480291906011,commute_time_bus_00_14,0.0
480291818091,commute_time_bus_00_14,2.0
480291818092,commute_time_bus_00_14,0.0
480291818094,commute_time_bus_00_14,0.0
480291906013,commute_time_bus_00_14,0.0
480291910041,commute_time_bus_00_14,16.0
480291910043,commute_time_bus_00_14,0.0
480291813022,commute_time_bus_00_14,0.0
480291212063,commute_time_bus_00_14,0.0
480291212061,commute_time_bus_00_14,0.0
480291212065,commute_time_bus_00_14,0.0
480291212062,commute_time_bus_00_14,0.0
