block_group,household_retirement,count_household_retirement
480291205026,house_retire_yes,64.0
480291205024,house_retire_yes,69.0
480291207012,house_retire_yes,57.0
480291207011,house_retire_yes,35.0
480291302002,house_retire_yes,50.0
480291410003,house_retire_yes,64.0
480291410002,house_retire_yes,47.0
480291516001,house_retire_yes,137.0
480291516004,house_retire_yes,90.0
480291516002,house_retire_yes,61.0
480291817051,house_retire_yes,150.0
480291817052,house_retire_yes,50.0
480291512002,house_retire_yes,97.0
480291606001,house_retire_yes,51.0
480291606003,house_retire_yes,74.0
480291419003,house_retire_yes,57.0
480291419002,house_retire_yes,140.0
480291515003,house_retire_yes,84.0
480291515002,house_retire_yes,75.0
480291603003,house_retire_yes,58.0
480291603002,house_retire_yes,85.0
480291603005,house_retire_yes,49.0
480291612001,house_retire_yes,38.0
480291612002,house_retire_yes,66.0
480291804003,house_retire_yes,65.0
480291804001,house_retire_yes,83.0
480291807012,house_retire_yes,96.0
480291811004,house_retire_yes,57.0
480291811002,house_retire_yes,170.0
480291811003,house_retire_yes,288.0
480291909015,house_retire_yes,88.0
480291909013,house_retire_yes,0.0
480291809014,house_retire_yes,69.0
480291813031,house_retire_yes,40.0
480291815041,house_retire_yes,122.0
480291815042,house_retire_yes,29.0
480291816012,house_retire_yes,279.0
480291906011,house_retire_yes,8.0
480291818091,house_retire_yes,100.0
480291818092,house_retire_yes,80.0
480291818094,house_retire_yes,138.0
480291906013,house_retire_yes,15.0
480291910041,house_retire_yes,45.0
480291910043,house_retire_yes,69.0
480291813022,house_retire_yes,185.0
480291212063,house_retire_yes,120.0
480291212061,house_retire_yes,76.0
480291212065,house_retire_yes,104.0
480291212062,house_retire_yes,143.0
480291214022,house_retire_yes,95.0
480291214021,house_retire_yes,350.0
480291218031,house_retire_yes,171.0
480291218032,house_retire_yes,69.0
480291218033,house_retire_yes,122.0
480291218041,house_retire_yes,90.0
480291218042,house_retire_yes,240.0
480291218043,house_retire_yes,117.0
480291308001,house_retire_yes,182.0
480291308004,house_retire_yes,6.0
480291308002,house_retire_yes,68.0
480291308003,house_retire_yes,71.0
480291311003,house_retire_yes,62.0
480291311002,house_retire_yes,40.0
480291602002,house_retire_yes,66.0
480291817134,house_retire_yes,14.0
480291817132,house_retire_yes,172.0
480291817133,house_retire_yes,154.0
480291815054,house_retire_yes,156.0
480291815053,house_retire_yes,118.0
480291815051,house_retire_yes,128.0
480291817042,house_retire_yes,51.0
480291817044,house_retire_yes,32.0
480291817111,house_retire_yes,197.0
480291907002,house_retire_yes,38.0
480291907003,house_retire_yes,39.0
480291607011,house_retire_yes,38.0
480291607012,house_retire_yes,111.0
480291718011,house_retire_yes,79.0
480291718013,house_retire_yes,74.0
480291718014,house_retire_yes,66.0
480291718012,house_retire_yes,72.0
480291802013,house_retire_yes,84.0
480291802012,house_retire_yes,39.0
480291802014,house_retire_yes,96.0
480291802011,house_retire_yes,23.0
480291812001,house_retire_yes,28.0
480291812004,house_retire_yes,150.0
480291812002,house_retire_yes,178.0
480291812005,house_retire_yes,80.0
480291514004,house_retire_yes,19.0
480291511003,house_retire_yes,63.0
480291511001,house_retire_yes,0.0
480291514001,house_retire_yes,18.0
480291514002,house_retire_yes,76.0
480291905012,house_retire_yes,61.0
480291905013,house_retire_yes,46.0
480291905011,house_retire_yes,18.0
480291908001,house_retire_yes,36.0
480291908002,house_retire_yes,61.0
480291909011,house_retire_yes,157.0
480291909012,house_retire_yes,46.0
480291909021,house_retire_yes,111.0
480291909023,house_retire_yes,107.0
480291810012,house_retire_yes,108.0
480291810042,house_retire_yes,61.0
480291810041,house_retire_yes,91.0
480291901004,house_retire_yes,47.0
480291901003,house_retire_yes,40.0
480291901002,house_retire_yes,63.0
480291719021,house_retire_yes,8.0
480291311001,house_retire_yes,16.0
480291203008,house_retire_yes,36.0
480291203007,house_retire_yes,79.0
480291501001,house_retire_yes,59.0
480291501004,house_retire_yes,21.0
480291506004,house_retire_yes,27.0
480291506003,house_retire_yes,30.0
480291511007,house_retire_yes,96.0
480291511005,house_retire_yes,21.0
480291511004,house_retire_yes,33.0
480291918042,house_retire_yes,268.0
480291918041,house_retire_yes,108.0
480291210004,house_retire_yes,83.0
480291210003,house_retire_yes,160.0
480291210005,house_retire_yes,125.0
480291210006,house_retire_yes,153.0
480291211102,house_retire_yes,105.0
480291215062,house_retire_yes,18.0
480291215061,house_retire_yes,128.0
480291305001,house_retire_yes,18.0
480291305003,house_retire_yes,108.0
480291305002,house_retire_yes,27.0
480291305004,house_retire_yes,13.0
480291904003,house_retire_yes,68.0
480291211081,house_retire_yes,141.0
480291211083,house_retire_yes,72.0
480291211084,house_retire_yes,126.0
480291207015,house_retire_yes,70.0
480291215042,house_retire_yes,97.0
480291215041,house_retire_yes,181.0
480291503001,house_retire_yes,30.0
480291503004,house_retire_yes,87.0
480291503003,house_retire_yes,18.0
480291602003,house_retire_yes,62.0
480291508002,house_retire_yes,35.0
480291508003,house_retire_yes,6.0
480291712003,house_retire_yes,22.0
480291418001,house_retire_yes,50.0
480291418002,house_retire_yes,32.0
480291512005,house_retire_yes,222.0
480291512003,house_retire_yes,79.0
480291512001,house_retire_yes,74.0
480291107001,house_retire_yes,38.0
480291904001,house_retire_yes,57.0
480291719121,house_retire_yes,248.0
480291817122,house_retire_yes,116.0
480291816023,house_retire_yes,94.0
480291816021,house_retire_yes,98.0
480291818081,house_retire_yes,118.0
480291821021,house_retire_yes,65.0
480291911011,house_retire_yes,51.0
480291911012,house_retire_yes,95.0
480291219082,house_retire_yes,127.0
480291219091,house_retire_yes,255.0
480291219092,house_retire_yes,181.0
480291219101,house_retire_yes,481.0
480291219102,house_retire_yes,75.0
480291304011,house_retire_yes,56.0
480291304012,house_retire_yes,37.0
480291304013,house_retire_yes,68.0
480291304014,house_retire_yes,39.0
480291304021,house_retire_yes,34.0
480291304022,house_retire_yes,7.0
480291304023,house_retire_yes,73.0
480291314011,house_retire_yes,248.0
480291314012,house_retire_yes,118.0
480291314021,house_retire_yes,49.0
480291719182,house_retire_yes,71.0
480291719184,house_retire_yes,40.0
480291719191,house_retire_yes,123.0
480291719202,house_retire_yes,214.0
480291719211,house_retire_yes,77.0
480291719213,house_retire_yes,50.0
480291719221,house_retire_yes,152.0
480291719232,house_retire_yes,92.0
480291719233,house_retire_yes,122.0
480291719241,house_retire_yes,260.0
480291720022,house_retire_yes,219.0
480291719242,house_retire_yes,107.0
480291719252,house_retire_yes,92.0
480291719254,house_retire_yes,122.0
480291720031,house_retire_yes,289.0
480291720032,house_retire_yes,176.0
480291720051,house_retire_yes,418.0
480291720052,house_retire_yes,444.0
480291720062,house_retire_yes,134.0
480291720063,house_retire_yes,146.0
480291720072,house_retire_yes,302.0
480291720073,house_retire_yes,408.0
