block_group,household_int_div_rent,count_household_int_div_rent
480291516001,house_int_div_rent_yes,71.0
480291516004,house_int_div_rent_yes,24.0
480291516002,house_int_div_rent_yes,50.0
480291817051,house_int_div_rent_yes,48.0
480291817052,house_int_div_rent_yes,35.0
480291512002,house_int_div_rent_yes,35.0
480291606001,house_int_div_rent_yes,0.0
480291606003,house_int_div_rent_yes,0.0
480291419003,house_int_div_rent_yes,14.0
480291419002,house_int_div_rent_yes,112.0
480291515003,house_int_div_rent_yes,11.0
480291515002,house_int_div_rent_yes,44.0
480291603003,house_int_div_rent_yes,29.0
480291603002,house_int_div_rent_yes,20.0
480291603005,house_int_div_rent_yes,60.0
480291612001,house_int_div_rent_yes,34.0
480291612002,house_int_div_rent_yes,5.0
480291804003,house_int_div_rent_yes,33.0
480291804001,house_int_div_rent_yes,49.0
480291807012,house_int_div_rent_yes,212.0
480291811004,house_int_div_rent_yes,93.0
480291811002,house_int_div_rent_yes,177.0
480291811003,house_int_div_rent_yes,299.0
480291909015,house_int_div_rent_yes,119.0
480291909013,house_int_div_rent_yes,30.0
480291809014,house_int_div_rent_yes,39.0
480291813031,house_int_div_rent_yes,55.0
480291815041,house_int_div_rent_yes,46.0
480291815042,house_int_div_rent_yes,95.0
480291816012,house_int_div_rent_yes,173.0
480291906011,house_int_div_rent_yes,19.0
480291818091,house_int_div_rent_yes,153.0
480291818092,house_int_div_rent_yes,65.0
480291818094,house_int_div_rent_yes,105.0
480291906013,house_int_div_rent_yes,15.0
480291910041,house_int_div_rent_yes,8.0
480291910043,house_int_div_rent_yes,52.0
480291813022,house_int_div_rent_yes,173.0
480291212063,house_int_div_rent_yes,76.0
480291212061,house_int_div_rent_yes,77.0
480291212065,house_int_div_rent_yes,33.0
480291212062,house_int_div_rent_yes,118.0
480291214022,house_int_div_rent_yes,30.0
480291214021,house_int_div_rent_yes,118.0
480291218031,house_int_div_rent_yes,79.0
480291218032,house_int_div_rent_yes,77.0
480291218033,house_int_div_rent_yes,110.0
480291218041,house_int_div_rent_yes,82.0
480291218042,house_int_div_rent_yes,89.0
480291218043,house_int_div_rent_yes,44.0
480291308001,house_int_div_rent_yes,66.0
480291308004,house_int_div_rent_yes,0.0
480291308002,house_int_div_rent_yes,17.0
480291308003,house_int_div_rent_yes,18.0
480291311003,house_int_div_rent_yes,25.0
480291311002,house_int_div_rent_yes,0.0
480291602002,house_int_div_rent_yes,30.0
480291817134,house_int_div_rent_yes,0.0
480291817132,house_int_div_rent_yes,100.0
480291817133,house_int_div_rent_yes,196.0
480291815054,house_int_div_rent_yes,84.0
480291815053,house_int_div_rent_yes,93.0
480291815051,house_int_div_rent_yes,113.0
480291817042,house_int_div_rent_yes,30.0
480291817044,house_int_div_rent_yes,0.0
480291817111,house_int_div_rent_yes,134.0
480291907002,house_int_div_rent_yes,33.0
480291907003,house_int_div_rent_yes,63.0
480291607011,house_int_div_rent_yes,17.0
480291607012,house_int_div_rent_yes,32.0
480291718011,house_int_div_rent_yes,33.0
480291718013,house_int_div_rent_yes,39.0
480291718014,house_int_div_rent_yes,7.0
480291718012,house_int_div_rent_yes,41.0
480291802013,house_int_div_rent_yes,44.0
480291802012,house_int_div_rent_yes,22.0
480291802014,house_int_div_rent_yes,37.0
480291802011,house_int_div_rent_yes,23.0
480291812001,house_int_div_rent_yes,41.0
480291812004,house_int_div_rent_yes,100.0
480291812002,house_int_div_rent_yes,145.0
480291812005,house_int_div_rent_yes,122.0
480291514004,house_int_div_rent_yes,0.0
480291511003,house_int_div_rent_yes,34.0
480291511001,house_int_div_rent_yes,0.0
480291514001,house_int_div_rent_yes,23.0
480291514002,house_int_div_rent_yes,15.0
480291905012,house_int_div_rent_yes,17.0
480291905013,house_int_div_rent_yes,31.0
480291905011,house_int_div_rent_yes,0.0
480291908001,house_int_div_rent_yes,137.0
480291908002,house_int_div_rent_yes,219.0
480291909011,house_int_div_rent_yes,82.0
480291909012,house_int_div_rent_yes,86.0
480291909021,house_int_div_rent_yes,69.0
480291909023,house_int_div_rent_yes,45.0
480291810012,house_int_div_rent_yes,136.0
480291810042,house_int_div_rent_yes,134.0
480291810041,house_int_div_rent_yes,99.0
480291901004,house_int_div_rent_yes,22.0
480291901003,house_int_div_rent_yes,34.0
480291901002,house_int_div_rent_yes,0.0
480291719021,house_int_div_rent_yes,83.0
480291311001,house_int_div_rent_yes,7.0
480291203008,house_int_div_rent_yes,113.0
480291203007,house_int_div_rent_yes,161.0
480291501001,house_int_div_rent_yes,69.0
480291501004,house_int_div_rent_yes,24.0
480291506004,house_int_div_rent_yes,27.0
480291506003,house_int_div_rent_yes,4.0
480291511007,house_int_div_rent_yes,30.0
480291511005,house_int_div_rent_yes,16.0
480291511004,house_int_div_rent_yes,33.0
480291918042,house_int_div_rent_yes,244.0
480291918041,house_int_div_rent_yes,185.0
480291210004,house_int_div_rent_yes,52.0
480291210003,house_int_div_rent_yes,62.0
480291210005,house_int_div_rent_yes,181.0
480291210006,house_int_div_rent_yes,105.0
480291211102,house_int_div_rent_yes,116.0
480291215062,house_int_div_rent_yes,13.0
480291215061,house_int_div_rent_yes,141.0
480291305001,house_int_div_rent_yes,8.0
480291305003,house_int_div_rent_yes,53.0
480291305002,house_int_div_rent_yes,16.0
480291305004,house_int_div_rent_yes,9.0
480291904003,house_int_div_rent_yes,90.0
480291211081,house_int_div_rent_yes,120.0
480291211083,house_int_div_rent_yes,62.0
480291211084,house_int_div_rent_yes,177.0
480291207015,house_int_div_rent_yes,154.0
480291215042,house_int_div_rent_yes,41.0
480291215041,house_int_div_rent_yes,123.0
480291503001,house_int_div_rent_yes,0.0
480291503004,house_int_div_rent_yes,40.0
480291503003,house_int_div_rent_yes,44.0
480291602003,house_int_div_rent_yes,27.0
480291508002,house_int_div_rent_yes,58.0
480291508003,house_int_div_rent_yes,15.0
480291712003,house_int_div_rent_yes,6.0
480291418001,house_int_div_rent_yes,18.0
480291418002,house_int_div_rent_yes,28.0
480291512005,house_int_div_rent_yes,41.0
480291512003,house_int_div_rent_yes,53.0
480291512001,house_int_div_rent_yes,9.0
480291107001,house_int_div_rent_yes,26.0
480291904001,house_int_div_rent_yes,139.0
480291719121,house_int_div_rent_yes,363.0
480291817122,house_int_div_rent_yes,107.0
480291816023,house_int_div_rent_yes,63.0
480291816021,house_int_div_rent_yes,41.0
480291818081,house_int_div_rent_yes,150.0
480291821021,house_int_div_rent_yes,77.0
480291911011,house_int_div_rent_yes,165.0
480291911012,house_int_div_rent_yes,62.0
480291219082,house_int_div_rent_yes,145.0
480291219091,house_int_div_rent_yes,124.0
480291219092,house_int_div_rent_yes,257.0
480291219101,house_int_div_rent_yes,411.0
480291219102,house_int_div_rent_yes,100.0
480291304011,house_int_div_rent_yes,9.0
480291304012,house_int_div_rent_yes,34.0
480291304013,house_int_div_rent_yes,0.0
480291304014,house_int_div_rent_yes,9.0
480291304021,house_int_div_rent_yes,19.0
480291304022,house_int_div_rent_yes,0.0
480291304023,house_int_div_rent_yes,1.0
480291314011,house_int_div_rent_yes,137.0
480291314012,house_int_div_rent_yes,95.0
480291314021,house_int_div_rent_yes,15.0
480291719182,house_int_div_rent_yes,22.0
480291719184,house_int_div_rent_yes,37.0
480291719191,house_int_div_rent_yes,87.0
480291719202,house_int_div_rent_yes,98.0
480291719211,house_int_div_rent_yes,38.0
480291719213,house_int_div_rent_yes,10.0
480291719221,house_int_div_rent_yes,116.0
480291719232,house_int_div_rent_yes,33.0
480291719233,house_int_div_rent_yes,48.0
480291719241,house_int_div_rent_yes,193.0
480291720022,house_int_div_rent_yes,155.0
480291719242,house_int_div_rent_yes,89.0
480291719252,house_int_div_rent_yes,117.0
480291719254,house_int_div_rent_yes,56.0
480291720031,house_int_div_rent_yes,129.0
480291720032,house_int_div_rent_yes,140.0
480291720051,house_int_div_rent_yes,176.0
480291720052,house_int_div_rent_yes,373.0
480291720062,house_int_div_rent_yes,49.0
480291720063,house_int_div_rent_yes,114.0
480291720072,house_int_div_rent_yes,196.0
480291720073,house_int_div_rent_yes,366.0
480291801012,house_int_div_rent_yes,95.0
480291315031,house_int_div_rent_yes,37.0
480291315032,house_int_div_rent_yes,61.0
480291315041,house_int_div_rent_yes,5.0
480291315042,house_int_div_rent_yes,46.0
480291315051,house_int_div_rent_yes,42.0
480291315052,house_int_div_rent_yes,43.0
480291315062,house_int_div_rent_yes,92.0
480291316081,house_int_div_rent_yes,90.0
480291315071,house_int_div_rent_yes,49.0
480291315073,house_int_div_rent_yes,28.0
480291316012,house_int_div_rent_yes,109.0
480291316082,house_int_div_rent_yes,230.0
480291316092,house_int_div_rent_yes,26.0
480291316093,house_int_div_rent_yes,104.0
480291316102,house_int_div_rent_yes,12.0
480291316111,house_int_div_rent_yes,80.0
480291316131,house_int_div_rent_yes,98.0
480291316132,house_int_div_rent_yes,88.0
480291316142,house_int_div_rent_yes,31.0
480291316151,house_int_div_rent_yes,88.0
480291316153,house_int_div_rent_yes,15.0
480291316154,house_int_div_rent_yes,33.0
480291318012,house_int_div_rent_yes,96.0
480291318021,house_int_div_rent_yes,116.0
480291318023,house_int_div_rent_yes,106.0
480291411011,house_int_div_rent_yes,39.0
480291411013,house_int_div_rent_yes,9.0
480291411021,house_int_div_rent_yes,40.0
480291411023,house_int_div_rent_yes,86.0
480291414022,house_int_div_rent_yes,55.0
480291414032,house_int_div_rent_yes,25.0
480291414041,house_int_div_rent_yes,97.0
480291414043,house_int_div_rent_yes,42.0
480291416002,house_int_div_rent_yes,86.0
480291513011,house_int_div_rent_yes,0.0
480291513012,house_int_div_rent_yes,21.0
480291513013,house_int_div_rent_yes,39.0
480291513014,house_int_div_rent_yes,27.0
480291513021,house_int_div_rent_yes,57.0
480291513022,house_int_div_rent_yes,20.0
480291521003,house_int_div_rent_yes,40.0
480291521004,house_int_div_rent_yes,100.0
480291522011,house_int_div_rent_yes,104.0
480291522012,house_int_div_rent_yes,14.0
480291522013,house_int_div_rent_yes,27.0
480291522021,house_int_div_rent_yes,52.0
480291605011,house_int_div_rent_yes,4.0
480291605012,house_int_div_rent_yes,24.0
480291605021,house_int_div_rent_yes,8.0
480291609013,house_int_div_rent_yes,14.0
480291605022,house_int_div_rent_yes,17.0
480291605024,house_int_div_rent_yes,21.0
480291609011,house_int_div_rent_yes,18.0
480291609021,house_int_div_rent_yes,28.0
480291609023,house_int_div_rent_yes,41.0
480291613022,house_int_div_rent_yes,85.0
480291613032,house_int_div_rent_yes,31.0
480291613041,house_int_div_rent_yes,16.0
480291614001,house_int_div_rent_yes,23.0
480291615031,house_int_div_rent_yes,78.0
480291615033,house_int_div_rent_yes,18.0
480291615041,house_int_div_rent_yes,27.0
480291618011,house_int_div_rent_yes,133.0
480291618012,house_int_div_rent_yes,13.0
480291618022,house_int_div_rent_yes,42.0
480291619011,house_int_div_rent_yes,17.0
480291619022,house_int_div_rent_yes,81.0
480291619023,house_int_div_rent_yes,60.0
480291620032,house_int_div_rent_yes,48.0
480291620033,house_int_div_rent_yes,70.0
480291620042,house_int_div_rent_yes,71.0
480291713011,house_int_div_rent_yes,12.0
480291713021,house_int_div_rent_yes,19.0
480291713022,house_int_div_rent_yes,15.0
480291716011,house_int_div_rent_yes,20.0
480291716013,house_int_div_rent_yes,0.0
480291716021,house_int_div_rent_yes,37.0
480291719022,house_int_div_rent_yes,62.0
480291719023,house_int_div_rent_yes,39.0
480291719131,house_int_div_rent_yes,154.0
480291719132,house_int_div_rent_yes,87.0
480291719142,house_int_div_rent_yes,76.0
480291719143,house_int_div_rent_yes,69.0
480291719161,house_int_div_rent_yes,116.0
480291719162,house_int_div_rent_yes,38.0
480291719171,house_int_div_rent_yes,283.0
480291719172,house_int_div_rent_yes,183.0
480291215053,house_int_div_rent_yes,128.0
480291216051,house_int_div_rent_yes,82.0
480291216052,house_int_div_rent_yes,29.0
480291216062,house_int_div_rent_yes,194.0
480291216063,house_int_div_rent_yes,58.0
480291217011,house_int_div_rent_yes,134.0
480291217012,house_int_div_rent_yes,126.0
480291217014,house_int_div_rent_yes,39.0
480291217021,house_int_div_rent_yes,289.0
480291217023,house_int_div_rent_yes,186.0
480291218081,house_int_div_rent_yes,40.0
480291218091,house_int_div_rent_yes,31.0
480291218092,house_int_div_rent_yes,174.0
480291218101,house_int_div_rent_yes,141.0
480291218102,house_int_div_rent_yes,72.0
480291218112,house_int_div_rent_yes,66.0
480291218121,house_int_div_rent_yes,69.0
480291219032,house_int_div_rent_yes,426.0
480291218123,house_int_div_rent_yes,42.0
480291218124,house_int_div_rent_yes,78.0
480291219031,house_int_div_rent_yes,246.0
480291219042,house_int_div_rent_yes,90.0
480291219051,house_int_div_rent_yes,257.0
480291219061,house_int_div_rent_yes,346.0
480291219062,house_int_div_rent_yes,243.0
480291219072,house_int_div_rent_yes,596.0
480291219081,house_int_div_rent_yes,127.0
480291209024,house_int_div_rent_yes,81.0
480291211103,house_int_div_rent_yes,62.0
480291211183,house_int_div_rent_yes,275.0
480291211192,house_int_div_rent_yes,243.0
480291211193,house_int_div_rent_yes,131.0
480291211202,house_int_div_rent_yes,104.0
480291211211,house_int_div_rent_yes,192.0
480291211212,house_int_div_rent_yes,111.0
480291211221,house_int_div_rent_yes,157.0
480291211222,house_int_div_rent_yes,127.0
480291211223,house_int_div_rent_yes,154.0
480291215014,house_int_div_rent_yes,35.0
480291713023,house_int_div_rent_yes,0.0
480291713024,house_int_div_rent_yes,31.0
480291714012,house_int_div_rent_yes,0.0
480291714021,house_int_div_rent_yes,24.0
480291714023,house_int_div_rent_yes,9.0
480291715011,house_int_div_rent_yes,2.0
480291715021,house_int_div_rent_yes,28.0
480291715022,house_int_div_rent_yes,0.0
480291715024,house_int_div_rent_yes,9.0
480291914121,house_int_div_rent_yes,393.0
480291914131,house_int_div_rent_yes,226.0
480291914132,house_int_div_rent_yes,318.0
480291915031,house_int_div_rent_yes,184.0
480291915032,house_int_div_rent_yes,136.0
480291915033,house_int_div_rent_yes,123.0
480291915041,house_int_div_rent_yes,263.0
480291915042,house_int_div_rent_yes,238.0
480291915051,house_int_div_rent_yes,143.0
480291915052,house_int_div_rent_yes,292.0
480291915061,house_int_div_rent_yes,316.0
480291915062,house_int_div_rent_yes,225.0
480291915063,house_int_div_rent_yes,236.0
480291917012,house_int_div_rent_yes,96.0
480291917021,house_int_div_rent_yes,551.0
480291917023,house_int_div_rent_yes,98.0
480291917024,house_int_div_rent_yes,316.0
480291918061,house_int_div_rent_yes,135.0
480291918062,house_int_div_rent_yes,256.0
480291918071,house_int_div_rent_yes,772.0
480291918072,house_int_div_rent_yes,49.0
480291918082,house_int_div_rent_yes,107.0
480291918091,house_int_div_rent_yes,401.0
480291918101,house_int_div_rent_yes,215.0
480291918102,house_int_div_rent_yes,139.0
480291918121,house_int_div_rent_yes,173.0
480291918122,house_int_div_rent_yes,103.0
480291918132,house_int_div_rent_yes,131.0
480291821062,house_int_div_rent_yes,413.0
480291905031,house_int_div_rent_yes,74.0
480291905033,house_int_div_rent_yes,40.0
480291905041,house_int_div_rent_yes,29.0
480291906031,house_int_div_rent_yes,20.0
480291906032,house_int_div_rent_yes,33.0
480291906042,house_int_div_rent_yes,0.0
480291906043,house_int_div_rent_yes,22.0
480291910052,house_int_div_rent_yes,38.0
480291910061,house_int_div_rent_yes,17.0
480291910063,house_int_div_rent_yes,16.0
480291801014,house_int_div_rent_yes,70.0
480291801015,house_int_div_rent_yes,75.0
