block_group,race,count_race
480291815042,race_tot_w,593.0
480291816012,race_tot_w,486.0
480291906011,race_tot_w,200.0
480291818091,race_tot_w,651.0
480291818092,race_tot_w,246.0
480291818094,race_tot_w,325.0
480291906013,race_tot_w,7.0
480291910041,race_tot_w,125.0
480291910043,race_tot_w,33.0
480291813022,race_tot_w,956.0
480291212063,race_tot_w,495.0
480291212061,race_tot_w,910.0
480291212065,race_tot_w,274.0
480291212062,race_tot_w,736.0
480291214022,race_tot_w,205.0
480291214021,race_tot_w,769.0
480291218031,race_tot_w,742.0
480291218032,race_tot_w,315.0
480291218033,race_tot_w,674.0
480291218041,race_tot_w,1159.0
480291218042,race_tot_w,1233.0
480291218043,race_tot_w,671.0
480291308001,race_tot_w,192.0
480291308004,race_tot_w,3.0
480291308002,race_tot_w,20.0
480291308003,race_tot_w,53.0
480291311003,race_tot_w,12.0
480291311002,race_tot_w,3.0
480291602002,race_tot_w,23.0
480291817134,race_tot_w,442.0
480291817132,race_tot_w,308.0
480291817133,race_tot_w,844.0
480291815054,race_tot_w,363.0
480291815053,race_tot_w,532.0
480291815051,race_tot_w,463.0
480291817042,race_tot_w,293.0
480291817044,race_tot_w,91.0
480291817111,race_tot_w,796.0
480291907002,race_tot_w,285.0
480291907003,race_tot_w,76.0
480291607011,race_tot_w,10.0
480291607012,race_tot_w,23.0
480291718011,race_tot_w,310.0
480291718013,race_tot_w,239.0
480291718014,race_tot_w,94.0
480291718012,race_tot_w,263.0
480291802013,race_tot_w,157.0
480291802012,race_tot_w,79.0
480291802014,race_tot_w,187.0
480291802011,race_tot_w,90.0
480291812001,race_tot_w,352.0
480291812004,race_tot_w,474.0
480291812002,race_tot_w,528.0
480291812005,race_tot_w,360.0
480291514004,race_tot_w,69.0
480291511003,race_tot_w,0.0
480291511001,race_tot_w,485.0
480291514001,race_tot_w,296.0
480291514002,race_tot_w,74.0
480291905012,race_tot_w,128.0
480291905013,race_tot_w,68.0
480291905011,race_tot_w,52.0
480291908001,race_tot_w,548.0
480291908002,race_tot_w,1002.0
480291909011,race_tot_w,141.0
480291909012,race_tot_w,294.0
480291909021,race_tot_w,422.0
480291909023,race_tot_w,277.0
480291810012,race_tot_w,550.0
480291810042,race_tot_w,832.0
480291810041,race_tot_w,812.0
480291901004,race_tot_w,45.0
480291901003,race_tot_w,177.0
480291901002,race_tot_w,113.0
480291719021,race_tot_w,774.0
480291311001,race_tot_w,18.0
480291203008,race_tot_w,387.0
480291203007,race_tot_w,552.0
480291501001,race_tot_w,254.0
480291501004,race_tot_w,96.0
480291506004,race_tot_w,47.0
480291506003,race_tot_w,0.0
480291511007,race_tot_w,47.0
480291511005,race_tot_w,0.0
480291511004,race_tot_w,0.0
480291918042,race_tot_w,1873.0
480291918041,race_tot_w,1243.0
480291210004,race_tot_w,351.0
480291210003,race_tot_w,915.0
480291210005,race_tot_w,632.0
480291210006,race_tot_w,557.0
480291211102,race_tot_w,829.0
480291215062,race_tot_w,55.0
