block_group,household_ssdi,count_household_ssdi
480291815054,house_sup_sec_yes,13.0
480291815053,house_sup_sec_yes,10.0
480291815051,house_sup_sec_yes,0.0
480291817042,house_sup_sec_yes,27.0
480291817044,house_sup_sec_yes,17.0
480291817111,house_sup_sec_yes,47.0
480291907002,house_sup_sec_yes,54.0
480291907003,house_sup_sec_yes,47.0
480291607011,house_sup_sec_yes,82.0
480291607012,house_sup_sec_yes,17.0
480291718011,house_sup_sec_yes,42.0
480291718013,house_sup_sec_yes,71.0
480291718014,house_sup_sec_yes,40.0
480291718012,house_sup_sec_yes,16.0
480291802013,house_sup_sec_yes,169.0
480291802012,house_sup_sec_yes,31.0
480291802014,house_sup_sec_yes,25.0
480291802011,house_sup_sec_yes,64.0
480291812001,house_sup_sec_yes,15.0
480291812004,house_sup_sec_yes,16.0
480291812002,house_sup_sec_yes,46.0
480291812005,house_sup_sec_yes,26.0
480291514004,house_sup_sec_yes,7.0
480291511003,house_sup_sec_yes,50.0
480291511001,house_sup_sec_yes,0.0
480291514001,house_sup_sec_yes,55.0
480291514002,house_sup_sec_yes,40.0
480291905012,house_sup_sec_yes,51.0
480291905013,house_sup_sec_yes,16.0
480291905011,house_sup_sec_yes,59.0
480291908001,house_sup_sec_yes,4.0
480291908002,house_sup_sec_yes,0.0
480291909011,house_sup_sec_yes,61.0
480291909012,house_sup_sec_yes,61.0
480291909021,house_sup_sec_yes,54.0
480291909023,house_sup_sec_yes,7.0
480291810012,house_sup_sec_yes,33.0
480291810042,house_sup_sec_yes,39.0
480291810041,house_sup_sec_yes,0.0
480291901004,house_sup_sec_yes,28.0
480291901003,house_sup_sec_yes,22.0
480291901002,house_sup_sec_yes,140.0
480291719021,house_sup_sec_yes,57.0
480291311001,house_sup_sec_yes,45.0
480291203008,house_sup_sec_yes,0.0
480291203007,house_sup_sec_yes,15.0
480291501001,house_sup_sec_yes,54.0
480291501004,house_sup_sec_yes,30.0
480291506004,house_sup_sec_yes,57.0
480291506003,house_sup_sec_yes,76.0
480291511007,house_sup_sec_yes,23.0
480291511005,house_sup_sec_yes,100.0
480291511004,house_sup_sec_yes,30.0
480291918042,house_sup_sec_yes,65.0
480291918041,house_sup_sec_yes,26.0
480291210004,house_sup_sec_yes,0.0
480291210003,house_sup_sec_yes,105.0
480291210005,house_sup_sec_yes,0.0
480291210006,house_sup_sec_yes,69.0
480291211102,house_sup_sec_yes,20.0
480291215062,house_sup_sec_yes,22.0
480291215061,house_sup_sec_yes,27.0
480291305001,house_sup_sec_yes,18.0
480291305003,house_sup_sec_yes,134.0
480291305002,house_sup_sec_yes,11.0
480291305004,house_sup_sec_yes,16.0
480291904003,house_sup_sec_yes,0.0
480291211081,house_sup_sec_yes,15.0
480291211083,house_sup_sec_yes,16.0
480291211084,house_sup_sec_yes,19.0
480291207015,house_sup_sec_yes,16.0
480291215042,house_sup_sec_yes,15.0
480291215041,house_sup_sec_yes,32.0
480291503001,house_sup_sec_yes,22.0
480291503004,house_sup_sec_yes,97.0
480291503003,house_sup_sec_yes,16.0
480291602003,house_sup_sec_yes,21.0
480291508002,house_sup_sec_yes,22.0
480291508003,house_sup_sec_yes,21.0
480291712003,house_sup_sec_yes,45.0
480291418001,house_sup_sec_yes,35.0
480291418002,house_sup_sec_yes,35.0
480291512005,house_sup_sec_yes,101.0
480291512003,house_sup_sec_yes,14.0
480291512001,house_sup_sec_yes,0.0
480291107001,house_sup_sec_yes,79.0
480291904001,house_sup_sec_yes,0.0
480291719121,house_sup_sec_yes,100.0
480291817122,house_sup_sec_yes,12.0
480291816023,house_sup_sec_yes,8.0
480291816021,house_sup_sec_yes,0.0
