block_group,gender_work_age,count_gender_work_age
480291513022,sex_work_age_tot_m,552.0
480291521003,sex_work_age_tot_m,321.0
480291521004,sex_work_age_tot_m,759.0
480291522011,sex_work_age_tot_m,1009.0
480291522012,sex_work_age_tot_m,646.0
480291522013,sex_work_age_tot_m,525.0
480291522021,sex_work_age_tot_m,1215.0
480291605011,sex_work_age_tot_m,524.0
480291605012,sex_work_age_tot_m,336.0
480291605021,sex_work_age_tot_m,116.0
480291609013,sex_work_age_tot_m,396.0
480291605022,sex_work_age_tot_m,214.0
480291605024,sex_work_age_tot_m,437.0
480291609011,sex_work_age_tot_m,255.0
480291609021,sex_work_age_tot_m,647.0
480291609023,sex_work_age_tot_m,332.0
480291613022,sex_work_age_tot_m,557.0
480291613032,sex_work_age_tot_m,496.0
480291613041,sex_work_age_tot_m,576.0
480291614001,sex_work_age_tot_m,3888.0
480291615031,sex_work_age_tot_m,598.0
480291615033,sex_work_age_tot_m,244.0
480291615041,sex_work_age_tot_m,582.0
480291618011,sex_work_age_tot_m,1122.0
480291618012,sex_work_age_tot_m,225.0
480291618022,sex_work_age_tot_m,1063.0
480291619011,sex_work_age_tot_m,341.0
480291619022,sex_work_age_tot_m,1003.0
480291619023,sex_work_age_tot_m,3267.0
480291620032,sex_work_age_tot_m,486.0
480291620033,sex_work_age_tot_m,411.0
480291620042,sex_work_age_tot_m,658.0
480291713011,sex_work_age_tot_m,280.0
480291713021,sex_work_age_tot_m,830.0
480291713022,sex_work_age_tot_m,222.0
480291716011,sex_work_age_tot_m,492.0
480291716013,sex_work_age_tot_m,332.0
480291716021,sex_work_age_tot_m,735.0
480291719022,sex_work_age_tot_m,1606.0
480291719023,sex_work_age_tot_m,2216.0
480291719131,sex_work_age_tot_m,1428.0
480291719132,sex_work_age_tot_m,443.0
480291719142,sex_work_age_tot_m,611.0
480291719143,sex_work_age_tot_m,687.0
480291719161,sex_work_age_tot_m,1051.0
480291719162,sex_work_age_tot_m,582.0
480291719171,sex_work_age_tot_m,1214.0
480291719172,sex_work_age_tot_m,1653.0
480291215053,sex_work_age_tot_m,618.0
480291216051,sex_work_age_tot_m,414.0
480291216052,sex_work_age_tot_m,212.0
480291216062,sex_work_age_tot_m,983.0
480291216063,sex_work_age_tot_m,313.0
480291217011,sex_work_age_tot_m,386.0
480291217012,sex_work_age_tot_m,202.0
480291217014,sex_work_age_tot_m,416.0
480291217021,sex_work_age_tot_m,884.0
480291217023,sex_work_age_tot_m,791.0
480291218081,sex_work_age_tot_m,216.0
480291218091,sex_work_age_tot_m,317.0
480291218092,sex_work_age_tot_m,649.0
480291218101,sex_work_age_tot_m,921.0
480291218102,sex_work_age_tot_m,420.0
480291218112,sex_work_age_tot_m,296.0
480291218121,sex_work_age_tot_m,1265.0
480291219032,sex_work_age_tot_m,1044.0
480291218123,sex_work_age_tot_m,185.0
480291218124,sex_work_age_tot_m,111.0
480291219031,sex_work_age_tot_m,733.0
480291219042,sex_work_age_tot_m,714.0
480291219051,sex_work_age_tot_m,745.0
480291219061,sex_work_age_tot_m,1055.0
480291219062,sex_work_age_tot_m,974.0
480291219072,sex_work_age_tot_m,3667.0
480291219081,sex_work_age_tot_m,548.0
480291209024,sex_work_age_tot_m,482.0
480291211103,sex_work_age_tot_m,510.0
480291211183,sex_work_age_tot_m,595.0
480291211192,sex_work_age_tot_m,1153.0
480291211193,sex_work_age_tot_m,652.0
480291211202,sex_work_age_tot_m,686.0
480291211211,sex_work_age_tot_m,591.0
480291211212,sex_work_age_tot_m,294.0
480291211221,sex_work_age_tot_m,466.0
480291211222,sex_work_age_tot_m,512.0
480291211223,sex_work_age_tot_m,717.0
480291215014,sex_work_age_tot_m,673.0
480291713023,sex_work_age_tot_m,375.0
480291713024,sex_work_age_tot_m,154.0
480291714012,sex_work_age_tot_m,866.0
480291714021,sex_work_age_tot_m,626.0
480291714023,sex_work_age_tot_m,775.0
480291715011,sex_work_age_tot_m,577.0
480291715021,sex_work_age_tot_m,438.0
480291715022,sex_work_age_tot_m,387.0
480291715024,sex_work_age_tot_m,452.0
480291914121,sex_work_age_tot_m,649.0
480291914131,sex_work_age_tot_m,740.0
480291914132,sex_work_age_tot_m,1045.0
480291915031,sex_work_age_tot_m,589.0
480291915032,sex_work_age_tot_m,548.0
480291915033,sex_work_age_tot_m,280.0
480291915041,sex_work_age_tot_m,272.0
480291915042,sex_work_age_tot_m,338.0
480291915051,sex_work_age_tot_m,252.0
480291915052,sex_work_age_tot_m,257.0
480291915061,sex_work_age_tot_m,724.0
480291915062,sex_work_age_tot_m,818.0
480291915063,sex_work_age_tot_m,413.0
480291917012,sex_work_age_tot_m,156.0
480291917021,sex_work_age_tot_m,1276.0
480291917023,sex_work_age_tot_m,298.0
480291917024,sex_work_age_tot_m,197.0
480291918061,sex_work_age_tot_m,423.0
480291918062,sex_work_age_tot_m,418.0
480291918071,sex_work_age_tot_m,1218.0
480291918072,sex_work_age_tot_m,828.0
480291918082,sex_work_age_tot_m,363.0
480291918091,sex_work_age_tot_m,1439.0
480291918101,sex_work_age_tot_m,833.0
480291918102,sex_work_age_tot_m,610.0
480291918121,sex_work_age_tot_m,866.0
480291918122,sex_work_age_tot_m,399.0
480291918132,sex_work_age_tot_m,669.0
480291821062,sex_work_age_tot_m,1065.0
480291905031,sex_work_age_tot_m,530.0
480291905033,sex_work_age_tot_m,564.0
480291905041,sex_work_age_tot_m,461.0
480291906031,sex_work_age_tot_m,579.0
480291906032,sex_work_age_tot_m,531.0
480291906042,sex_work_age_tot_m,342.0
480291906043,sex_work_age_tot_m,425.0
480291910052,sex_work_age_tot_m,311.0
480291910061,sex_work_age_tot_m,357.0
480291910063,sex_work_age_tot_m,505.0
