block_group,house_income,count_house_income
480291302002,house_ann_inc_000_010,58.0
480291410003,house_ann_inc_000_010,41.0
480291410002,house_ann_inc_000_010,165.0
480291516001,house_ann_inc_000_010,33.0
480291516004,house_ann_inc_000_010,29.0
480291516002,house_ann_inc_000_010,14.0
480291817051,house_ann_inc_000_010,24.0
480291817052,house_ann_inc_000_010,47.0
480291512002,house_ann_inc_000_010,43.0
480291606001,house_ann_inc_000_010,14.0
480291606003,house_ann_inc_000_010,113.0
480291419003,house_ann_inc_000_010,0.0
480291419002,house_ann_inc_000_010,14.0
480291515003,house_ann_inc_000_010,28.0
480291515002,house_ann_inc_000_010,32.0
480291603003,house_ann_inc_000_010,60.0
480291603002,house_ann_inc_000_010,58.0
480291603005,house_ann_inc_000_010,92.0
480291612001,house_ann_inc_000_010,52.0
480291612002,house_ann_inc_000_010,50.0
480291804003,house_ann_inc_000_010,8.0
480291804001,house_ann_inc_000_010,45.0
480291807012,house_ann_inc_000_010,199.0
480291811004,house_ann_inc_000_010,0.0
480291811002,house_ann_inc_000_010,18.0
480291811003,house_ann_inc_000_010,49.0
480291909015,house_ann_inc_000_010,16.0
480291909013,house_ann_inc_000_010,89.0
480291809014,house_ann_inc_000_010,0.0
480291813031,house_ann_inc_000_010,45.0
480291815041,house_ann_inc_000_010,65.0
480291815042,house_ann_inc_000_010,141.0
480291816012,house_ann_inc_000_010,60.0
480291906011,house_ann_inc_000_010,0.0
480291818091,house_ann_inc_000_010,0.0
480291818092,house_ann_inc_000_010,70.0
480291818094,house_ann_inc_000_010,17.0
480291906013,house_ann_inc_000_010,33.0
480291910041,house_ann_inc_000_010,57.0
480291910043,house_ann_inc_000_010,8.0
480291813022,house_ann_inc_000_010,51.0
480291212063,house_ann_inc_000_010,16.0
480291212061,house_ann_inc_000_010,0.0
480291212065,house_ann_inc_000_010,8.0
480291212062,house_ann_inc_000_010,0.0
480291214022,house_ann_inc_000_010,11.0
480291214021,house_ann_inc_000_010,29.0
480291218031,house_ann_inc_000_010,12.0
480291218032,house_ann_inc_000_010,8.0
480291218033,house_ann_inc_000_010,51.0
480291218041,house_ann_inc_000_010,38.0
480291218042,house_ann_inc_000_010,31.0
480291218043,house_ann_inc_000_010,203.0
480291308001,house_ann_inc_000_010,122.0
480291308004,house_ann_inc_000_010,9.0
480291308002,house_ann_inc_000_010,38.0
480291308003,house_ann_inc_000_010,0.0
480291311003,house_ann_inc_000_010,25.0
480291311002,house_ann_inc_000_010,58.0
480291602002,house_ann_inc_000_010,4.0
480291817134,house_ann_inc_000_010,84.0
480291817132,house_ann_inc_000_010,0.0
480291817133,house_ann_inc_000_010,12.0
480291815054,house_ann_inc_000_010,21.0
480291815053,house_ann_inc_000_010,13.0
480291815051,house_ann_inc_000_010,9.0
480291817042,house_ann_inc_000_010,14.0
480291817044,house_ann_inc_000_010,46.0
480291817111,house_ann_inc_000_010,0.0
480291907002,house_ann_inc_000_010,72.0
480291907003,house_ann_inc_000_010,74.0
480291607011,house_ann_inc_000_010,25.0
480291607012,house_ann_inc_000_010,42.0
480291718011,house_ann_inc_000_010,39.0
480291718013,house_ann_inc_000_010,18.0
480291718014,house_ann_inc_000_010,63.0
480291718012,house_ann_inc_000_010,41.0
480291802013,house_ann_inc_000_010,142.0
480291802012,house_ann_inc_000_010,28.0
480291802014,house_ann_inc_000_010,0.0
480291802011,house_ann_inc_000_010,10.0
480291812001,house_ann_inc_000_010,0.0
480291812004,house_ann_inc_000_010,35.0
480291812002,house_ann_inc_000_010,0.0
480291812005,house_ann_inc_000_010,13.0
480291514004,house_ann_inc_000_010,25.0
480291511003,house_ann_inc_000_010,17.0
480291511001,house_ann_inc_000_010,0.0
480291514001,house_ann_inc_000_010,59.0
480291514002,house_ann_inc_000_010,39.0
480291905012,house_ann_inc_000_010,11.0
480291905013,house_ann_inc_000_010,9.0
480291905011,house_ann_inc_000_010,8.0
480291908001,house_ann_inc_000_010,0.0
480291908002,house_ann_inc_000_010,14.0
480291909011,house_ann_inc_000_010,14.0
480291909012,house_ann_inc_000_010,36.0
480291909021,house_ann_inc_000_010,6.0
480291909023,house_ann_inc_000_010,0.0
480291810012,house_ann_inc_000_010,61.0
480291810042,house_ann_inc_000_010,147.0
480291810041,house_ann_inc_000_010,83.0
480291901004,house_ann_inc_000_010,77.0
480291901003,house_ann_inc_000_010,31.0
480291901002,house_ann_inc_000_010,92.0
480291719021,house_ann_inc_000_010,152.0
480291311001,house_ann_inc_000_010,33.0
480291203008,house_ann_inc_000_010,52.0
480291203007,house_ann_inc_000_010,9.0
480291501001,house_ann_inc_000_010,18.0
480291501004,house_ann_inc_000_010,74.0
480291506004,house_ann_inc_000_010,31.0
480291506003,house_ann_inc_000_010,37.0
480291511007,house_ann_inc_000_010,54.0
480291511005,house_ann_inc_000_010,68.0
480291511004,house_ann_inc_000_010,0.0
480291918042,house_ann_inc_000_010,47.0
480291918041,house_ann_inc_000_010,7.0
480291210004,house_ann_inc_000_010,0.0
480291210003,house_ann_inc_000_010,65.0
480291210005,house_ann_inc_000_010,40.0
480291210006,house_ann_inc_000_010,0.0
480291211102,house_ann_inc_000_010,32.0
480291215062,house_ann_inc_000_010,33.0
480291215061,house_ann_inc_000_010,17.0
480291305001,house_ann_inc_000_010,73.0
480291305003,house_ann_inc_000_010,188.0
480291305002,house_ann_inc_000_010,55.0
480291305004,house_ann_inc_000_010,36.0
480291904003,house_ann_inc_000_010,84.0
480291211081,house_ann_inc_000_010,16.0
480291211083,house_ann_inc_000_010,15.0
480291211084,house_ann_inc_000_010,35.0
480291207015,house_ann_inc_000_010,36.0
480291215042,house_ann_inc_000_010,15.0
480291215041,house_ann_inc_000_010,31.0
480291503001,house_ann_inc_000_010,32.0
480291503004,house_ann_inc_000_010,60.0
480291503003,house_ann_inc_000_010,57.0
480291602003,house_ann_inc_000_010,24.0
480291508002,house_ann_inc_000_010,4.0
480291508003,house_ann_inc_000_010,115.0
