block_group,commute_method,count_commute_method
480291308001,commute_car,974.0
480291308004,commute_car,428.0
480291308002,commute_car,201.0
480291308003,commute_car,144.0
480291311003,commute_car,345.0
480291311002,commute_car,277.0
480291602002,commute_car,417.0
480291817134,commute_car,696.0
480291817132,commute_car,829.0
480291817133,commute_car,635.0
480291815054,commute_car,596.0
480291815053,commute_car,470.0
480291815051,commute_car,406.0
480291817042,commute_car,575.0
480291817044,commute_car,489.0
480291817111,commute_car,1187.0
480291907002,commute_car,357.0
480291907003,commute_car,574.0
480291607011,commute_car,510.0
480291607012,commute_car,499.0
480291718011,commute_car,582.0
480291718013,commute_car,474.0
480291718014,commute_car,313.0
480291718012,commute_car,808.0
480291802013,commute_car,708.0
480291802012,commute_car,363.0
480291802014,commute_car,598.0
480291802011,commute_car,233.0
480291812001,commute_car,218.0
480291812004,commute_car,605.0
480291812002,commute_car,254.0
480291812005,commute_car,430.0
480291514004,commute_car,361.0
480291511003,commute_car,306.0
480291511001,commute_car,184.0
480291514001,commute_car,358.0
480291514002,commute_car,521.0
480291905012,commute_car,865.0
480291905013,commute_car,392.0
480291905011,commute_car,374.0
480291908001,commute_car,401.0
480291908002,commute_car,446.0
480291909011,commute_car,497.0
480291909012,commute_car,632.0
480291909021,commute_car,705.0
480291909023,commute_car,334.0
480291810012,commute_car,890.0
480291810042,commute_car,1610.0
480291810041,commute_car,1164.0
480291901004,commute_car,333.0
480291901003,commute_car,395.0
480291901002,commute_car,293.0
480291719021,commute_car,1151.0
480291311001,commute_car,176.0
480291203008,commute_car,223.0
480291203007,commute_car,239.0
480291501001,commute_car,849.0
480291501004,commute_car,491.0
480291506004,commute_car,307.0
480291506003,commute_car,344.0
480291511007,commute_car,561.0
480291511005,commute_car,192.0
480291511004,commute_car,666.0
480291918042,commute_car,1171.0
480291918041,commute_car,903.0
480291210004,commute_car,523.0
480291210003,commute_car,1324.0
480291210005,commute_car,522.0
480291210006,commute_car,650.0
480291211102,commute_car,714.0
480291215062,commute_car,452.0
480291215061,commute_car,342.0
480291305001,commute_car,178.0
480291305003,commute_car,453.0
480291305002,commute_car,261.0
480291305004,commute_car,428.0
480291904003,commute_car,331.0
480291211081,commute_car,567.0
480291211083,commute_car,1178.0
480291211084,commute_car,420.0
480291207015,commute_car,410.0
480291215042,commute_car,244.0
480291215041,commute_car,548.0
480291503001,commute_car,311.0
480291503004,commute_car,676.0
480291503003,commute_car,331.0
480291602003,commute_car,426.0
480291508002,commute_car,209.0
480291508003,commute_car,168.0
480291712003,commute_car,496.0
480291418001,commute_car,312.0
480291418002,commute_car,137.0
480291512005,commute_car,1880.0
480291512003,commute_car,238.0
480291512001,commute_car,567.0
480291107001,commute_car,252.0
480291904001,commute_car,365.0
480291719121,commute_car,2680.0
480291817122,commute_car,656.0
480291816023,commute_car,414.0
480291816021,commute_car,375.0
480291818081,commute_car,724.0
480291821021,commute_car,640.0
480291911011,commute_car,384.0
480291911012,commute_car,430.0
480291219082,commute_car,832.0
480291219091,commute_car,1759.0
480291219092,commute_car,1814.0
480291219101,commute_car,2616.0
480291219102,commute_car,465.0
480291304011,commute_car,253.0
480291304012,commute_car,394.0
480291304013,commute_car,466.0
480291304014,commute_car,227.0
480291304021,commute_car,349.0
480291304022,commute_car,346.0
480291304023,commute_car,382.0
480291314011,commute_car,3051.0
480291314012,commute_car,1678.0
480291314021,commute_car,241.0
480291719182,commute_car,413.0
480291719184,commute_car,890.0
480291719191,commute_car,1978.0
480291719202,commute_car,2576.0
480291719211,commute_car,1265.0
480291719213,commute_car,561.0
480291719221,commute_car,1788.0
480291719232,commute_car,634.0
480291719233,commute_car,1284.0
480291719241,commute_car,2582.0
480291720022,commute_car,2993.0
480291719242,commute_car,1157.0
480291719252,commute_car,1134.0
