block_group,gender_not_work_age,count_gender_not_work_age
480291503004,sex_not_work_age_tot_m,368.0
480291503003,sex_not_work_age_tot_m,134.0
480291602003,sex_not_work_age_tot_m,193.0
480291508002,sex_not_work_age_tot_m,75.0
480291508003,sex_not_work_age_tot_m,446.0
480291712003,sex_not_work_age_tot_m,176.0
480291418001,sex_not_work_age_tot_m,311.0
480291418002,sex_not_work_age_tot_m,100.0
480291512005,sex_not_work_age_tot_m,795.0
480291512003,sex_not_work_age_tot_m,351.0
480291512001,sex_not_work_age_tot_m,244.0
480291107001,sex_not_work_age_tot_m,323.0
480291904001,sex_not_work_age_tot_m,91.0
480291719121,sex_not_work_age_tot_m,701.0
480291817122,sex_not_work_age_tot_m,317.0
480291816023,sex_not_work_age_tot_m,347.0
480291816021,sex_not_work_age_tot_m,124.0
480291818081,sex_not_work_age_tot_m,305.0
480291821021,sex_not_work_age_tot_m,509.0
480291911011,sex_not_work_age_tot_m,179.0
480291911012,sex_not_work_age_tot_m,220.0
480291219082,sex_not_work_age_tot_m,333.0
480291219091,sex_not_work_age_tot_m,455.0
480291219092,sex_not_work_age_tot_m,772.0
480291219101,sex_not_work_age_tot_m,1425.0
480291219102,sex_not_work_age_tot_m,175.0
480291304011,sex_not_work_age_tot_m,202.0
480291304012,sex_not_work_age_tot_m,74.0
480291304013,sex_not_work_age_tot_m,290.0
480291304014,sex_not_work_age_tot_m,164.0
480291304021,sex_not_work_age_tot_m,262.0
480291304022,sex_not_work_age_tot_m,486.0
480291304023,sex_not_work_age_tot_m,246.0
480291314011,sex_not_work_age_tot_m,1454.0
480291314012,sex_not_work_age_tot_m,663.0
480291314021,sex_not_work_age_tot_m,93.0
480291719182,sex_not_work_age_tot_m,169.0
480291719184,sex_not_work_age_tot_m,194.0
480291719191,sex_not_work_age_tot_m,1191.0
480291719202,sex_not_work_age_tot_m,828.0
480291719211,sex_not_work_age_tot_m,536.0
480291719213,sex_not_work_age_tot_m,179.0
480291719221,sex_not_work_age_tot_m,645.0
480291719232,sex_not_work_age_tot_m,254.0
480291719233,sex_not_work_age_tot_m,218.0
480291719241,sex_not_work_age_tot_m,851.0
480291720022,sex_not_work_age_tot_m,1536.0
480291719242,sex_not_work_age_tot_m,283.0
480291719252,sex_not_work_age_tot_m,171.0
480291719254,sex_not_work_age_tot_m,672.0
480291720031,sex_not_work_age_tot_m,641.0
480291720032,sex_not_work_age_tot_m,621.0
480291720051,sex_not_work_age_tot_m,826.0
480291720052,sex_not_work_age_tot_m,1459.0
480291720062,sex_not_work_age_tot_m,461.0
480291720063,sex_not_work_age_tot_m,373.0
480291720072,sex_not_work_age_tot_m,589.0
480291720073,sex_not_work_age_tot_m,1087.0
480291801012,sex_not_work_age_tot_m,294.0
480291315031,sex_not_work_age_tot_m,224.0
480291315032,sex_not_work_age_tot_m,116.0
480291315041,sex_not_work_age_tot_m,291.0
480291315042,sex_not_work_age_tot_m,250.0
480291315051,sex_not_work_age_tot_m,640.0
480291315052,sex_not_work_age_tot_m,474.0
480291315062,sex_not_work_age_tot_m,445.0
480291316081,sex_not_work_age_tot_m,586.0
480291315071,sex_not_work_age_tot_m,744.0
480291315073,sex_not_work_age_tot_m,521.0
480291316012,sex_not_work_age_tot_m,567.0
480291316082,sex_not_work_age_tot_m,608.0
480291316092,sex_not_work_age_tot_m,247.0
480291316093,sex_not_work_age_tot_m,373.0
480291316102,sex_not_work_age_tot_m,468.0
480291316111,sex_not_work_age_tot_m,203.0
480291316131,sex_not_work_age_tot_m,310.0
480291316132,sex_not_work_age_tot_m,505.0
480291316142,sex_not_work_age_tot_m,66.0
480291316151,sex_not_work_age_tot_m,239.0
480291316153,sex_not_work_age_tot_m,109.0
480291316154,sex_not_work_age_tot_m,217.0
480291318012,sex_not_work_age_tot_m,140.0
480291318021,sex_not_work_age_tot_m,352.0
480291318023,sex_not_work_age_tot_m,304.0
480291411011,sex_not_work_age_tot_m,234.0
480291411013,sex_not_work_age_tot_m,310.0
480291411021,sex_not_work_age_tot_m,287.0
480291411023,sex_not_work_age_tot_m,269.0
480291414022,sex_not_work_age_tot_m,347.0
480291414032,sex_not_work_age_tot_m,493.0
