block_group,gender,count_gender
480291712003,sex_age_tot_f,904.0
480291418001,sex_age_tot_f,533.0
480291418002,sex_age_tot_f,318.0
480291512005,sex_age_tot_f,1927.0
480291512003,sex_age_tot_f,491.0
480291512001,sex_age_tot_f,557.0
480291107001,sex_age_tot_f,468.0
480291904001,sex_age_tot_f,259.0
480291719121,sex_age_tot_f,2839.0
480291817122,sex_age_tot_f,770.0
480291816023,sex_age_tot_f,738.0
480291816021,sex_age_tot_f,385.0
480291818081,sex_age_tot_f,895.0
480291821021,sex_age_tot_f,649.0
480291911011,sex_age_tot_f,444.0
480291911012,sex_age_tot_f,472.0
480291219082,sex_age_tot_f,1040.0
480291219091,sex_age_tot_f,1601.0
480291219092,sex_age_tot_f,2521.0
480291219101,sex_age_tot_f,2973.0
480291219102,sex_age_tot_f,552.0
480291304011,sex_age_tot_f,339.0
480291304012,sex_age_tot_f,473.0
480291304013,sex_age_tot_f,627.0
480291304014,sex_age_tot_f,371.0
480291304021,sex_age_tot_f,619.0
480291304022,sex_age_tot_f,956.0
480291304023,sex_age_tot_f,636.0
480291314011,sex_age_tot_f,3343.0
480291314012,sex_age_tot_f,1991.0
480291314021,sex_age_tot_f,328.0
480291719182,sex_age_tot_f,506.0
480291719184,sex_age_tot_f,944.0
480291719191,sex_age_tot_f,2490.0
480291719202,sex_age_tot_f,2915.0
480291719211,sex_age_tot_f,1391.0
480291719213,sex_age_tot_f,618.0
480291719221,sex_age_tot_f,2021.0
480291719232,sex_age_tot_f,850.0
480291719233,sex_age_tot_f,1303.0
480291719241,sex_age_tot_f,2418.0
480291720022,sex_age_tot_f,3264.0
480291719242,sex_age_tot_f,1228.0
480291719252,sex_age_tot_f,1085.0
480291719254,sex_age_tot_f,1539.0
480291720031,sex_age_tot_f,1838.0
480291720032,sex_age_tot_f,1559.0
480291720051,sex_age_tot_f,2673.0
480291720052,sex_age_tot_f,3537.0
480291720062,sex_age_tot_f,1218.0
480291720063,sex_age_tot_f,1061.0
480291720072,sex_age_tot_f,1114.0
480291720073,sex_age_tot_f,2381.0
480291801012,sex_age_tot_f,757.0
480291315031,sex_age_tot_f,465.0
480291315032,sex_age_tot_f,505.0
480291315041,sex_age_tot_f,876.0
480291315042,sex_age_tot_f,682.0
480291315051,sex_age_tot_f,1189.0
480291315052,sex_age_tot_f,1566.0
480291315062,sex_age_tot_f,1337.0
480291316081,sex_age_tot_f,1376.0
480291315071,sex_age_tot_f,1458.0
480291315073,sex_age_tot_f,1329.0
480291316012,sex_age_tot_f,1960.0
480291316082,sex_age_tot_f,1747.0
480291316092,sex_age_tot_f,1081.0
480291316093,sex_age_tot_f,1719.0
480291316102,sex_age_tot_f,1340.0
480291316111,sex_age_tot_f,524.0
480291316131,sex_age_tot_f,862.0
480291316132,sex_age_tot_f,1431.0
480291316142,sex_age_tot_f,220.0
480291316151,sex_age_tot_f,1712.0
480291316153,sex_age_tot_f,902.0
480291316154,sex_age_tot_f,864.0
480291318012,sex_age_tot_f,324.0
480291318021,sex_age_tot_f,980.0
480291318023,sex_age_tot_f,1080.0
480291411011,sex_age_tot_f,604.0
480291411013,sex_age_tot_f,796.0
480291411021,sex_age_tot_f,552.0
480291411023,sex_age_tot_f,901.0
480291414022,sex_age_tot_f,835.0
480291414032,sex_age_tot_f,1263.0
480291414041,sex_age_tot_f,1290.0
480291414043,sex_age_tot_f,616.0
480291416002,sex_age_tot_f,1017.0
480291513011,sex_age_tot_f,417.0
480291513012,sex_age_tot_f,561.0
480291513013,sex_age_tot_f,668.0
480291513014,sex_age_tot_f,1317.0
480291513021,sex_age_tot_f,983.0
480291513022,sex_age_tot_f,819.0
480291521003,sex_age_tot_f,371.0
480291521004,sex_age_tot_f,806.0
480291522011,sex_age_tot_f,1558.0
480291522012,sex_age_tot_f,1429.0
480291522013,sex_age_tot_f,755.0
480291522021,sex_age_tot_f,1770.0
480291605011,sex_age_tot_f,1236.0
480291605012,sex_age_tot_f,450.0
480291605021,sex_age_tot_f,272.0
480291609013,sex_age_tot_f,543.0
480291605022,sex_age_tot_f,645.0
480291605024,sex_age_tot_f,725.0
480291609011,sex_age_tot_f,494.0
480291609021,sex_age_tot_f,1124.0
480291609023,sex_age_tot_f,778.0
480291613022,sex_age_tot_f,1099.0
480291613032,sex_age_tot_f,1285.0
480291613041,sex_age_tot_f,969.0
480291614001,sex_age_tot_f,2179.0
480291615031,sex_age_tot_f,1216.0
480291615033,sex_age_tot_f,675.0
480291615041,sex_age_tot_f,786.0
480291618011,sex_age_tot_f,1583.0
480291618012,sex_age_tot_f,434.0
480291618022,sex_age_tot_f,2081.0
480291619011,sex_age_tot_f,507.0
480291619022,sex_age_tot_f,1815.0
480291619023,sex_age_tot_f,1401.0
480291620032,sex_age_tot_f,796.0
480291620033,sex_age_tot_f,728.0
480291620042,sex_age_tot_f,1117.0
480291713011,sex_age_tot_f,432.0
480291713021,sex_age_tot_f,1189.0
480291713022,sex_age_tot_f,492.0
480291716011,sex_age_tot_f,975.0
480291716013,sex_age_tot_f,658.0
480291716021,sex_age_tot_f,1451.0
480291719022,sex_age_tot_f,2457.0
480291719023,sex_age_tot_f,4296.0
480291719131,sex_age_tot_f,2247.0
480291719132,sex_age_tot_f,874.0
480291719142,sex_age_tot_f,1135.0
480291719143,sex_age_tot_f,1004.0
480291719161,sex_age_tot_f,1992.0
480291719162,sex_age_tot_f,1051.0
480291719171,sex_age_tot_f,2034.0
480291719172,sex_age_tot_f,2687.0
480291215053,sex_age_tot_f,1076.0
480291216051,sex_age_tot_f,739.0
