block_group,m_biz_type,count_biz_type
480291212062,workers_m_profit,255.0
480291214022,workers_m_profit,323.0
480291214021,workers_m_profit,1419.0
480291218031,workers_m_profit,241.0
480291218032,workers_m_profit,126.0
480291218033,workers_m_profit,450.0
480291218041,workers_m_profit,539.0
480291218042,workers_m_profit,424.0
480291218043,workers_m_profit,305.0
480291308001,workers_m_profit,409.0
480291308004,workers_m_profit,354.0
480291308002,workers_m_profit,83.0
480291308003,workers_m_profit,98.0
480291311003,workers_m_profit,175.0
480291311002,workers_m_profit,202.0
480291602002,workers_m_profit,163.0
480291817134,workers_m_profit,351.0
480291817132,workers_m_profit,296.0
480291817133,workers_m_profit,319.0
480291815054,workers_m_profit,210.0
480291815053,workers_m_profit,212.0
480291815051,workers_m_profit,165.0
480291817042,workers_m_profit,256.0
480291817044,workers_m_profit,194.0
480291817111,workers_m_profit,615.0
480291907002,workers_m_profit,210.0
480291907003,workers_m_profit,279.0
480291607011,workers_m_profit,337.0
480291607012,workers_m_profit,188.0
480291718011,workers_m_profit,339.0
480291718013,workers_m_profit,218.0
480291718014,workers_m_profit,136.0
480291718012,workers_m_profit,320.0
480291802013,workers_m_profit,513.0
480291802012,workers_m_profit,171.0
480291802014,workers_m_profit,269.0
480291802011,workers_m_profit,126.0
480291812001,workers_m_profit,106.0
480291812004,workers_m_profit,443.0
480291812002,workers_m_profit,91.0
480291812005,workers_m_profit,135.0
480291514004,workers_m_profit,177.0
480291511003,workers_m_profit,155.0
480291511001,workers_m_profit,100.0
480291514001,workers_m_profit,220.0
480291514002,workers_m_profit,288.0
480291905012,workers_m_profit,312.0
480291905013,workers_m_profit,149.0
480291905011,workers_m_profit,231.0
480291908001,workers_m_profit,161.0
480291908002,workers_m_profit,259.0
480291909011,workers_m_profit,244.0
480291909012,workers_m_profit,422.0
480291909021,workers_m_profit,377.0
480291909023,workers_m_profit,254.0
480291810012,workers_m_profit,370.0
480291810042,workers_m_profit,741.0
480291810041,workers_m_profit,559.0
480291901004,workers_m_profit,218.0
480291901003,workers_m_profit,141.0
480291901002,workers_m_profit,258.0
480291719021,workers_m_profit,410.0
480291311001,workers_m_profit,82.0
480291203008,workers_m_profit,169.0
480291203007,workers_m_profit,91.0
480291501001,workers_m_profit,496.0
480291501004,workers_m_profit,198.0
480291506004,workers_m_profit,146.0
480291506003,workers_m_profit,112.0
480291511007,workers_m_profit,300.0
480291511005,workers_m_profit,91.0
480291511004,workers_m_profit,415.0
480291918042,workers_m_profit,502.0
480291918041,workers_m_profit,407.0
480291210004,workers_m_profit,268.0
480291210003,workers_m_profit,574.0
480291210005,workers_m_profit,212.0
480291210006,workers_m_profit,285.0
480291211102,workers_m_profit,327.0
480291215062,workers_m_profit,301.0
480291215061,workers_m_profit,133.0
480291305001,workers_m_profit,140.0
480291305003,workers_m_profit,266.0
480291305002,workers_m_profit,106.0
480291305004,workers_m_profit,138.0
480291904003,workers_m_profit,155.0
480291211081,workers_m_profit,109.0
480291211083,workers_m_profit,545.0
480291211084,workers_m_profit,251.0
480291207015,workers_m_profit,156.0
480291215042,workers_m_profit,17.0
480291215041,workers_m_profit,203.0
480291503001,workers_m_profit,222.0
480291503004,workers_m_profit,280.0
480291503003,workers_m_profit,162.0
480291602003,workers_m_profit,125.0
480291508002,workers_m_profit,55.0
480291508003,workers_m_profit,125.0
480291712003,workers_m_profit,236.0
480291418001,workers_m_profit,116.0
480291418002,workers_m_profit,81.0
480291512005,workers_m_profit,1000.0
480291512003,workers_m_profit,79.0
480291512001,workers_m_profit,298.0
480291107001,workers_m_profit,194.0
480291904001,workers_m_profit,94.0
480291719121,workers_m_profit,1153.0
480291817122,workers_m_profit,334.0
480291816023,workers_m_profit,220.0
480291816021,workers_m_profit,144.0
480291818081,workers_m_profit,297.0
480291821021,workers_m_profit,276.0
480291911011,workers_m_profit,144.0
480291911012,workers_m_profit,191.0
480291219082,workers_m_profit,358.0
480291219091,workers_m_profit,568.0
480291219092,workers_m_profit,752.0
480291219101,workers_m_profit,1095.0
480291219102,workers_m_profit,155.0
480291304011,workers_m_profit,173.0
480291304012,workers_m_profit,214.0
480291304013,workers_m_profit,302.0
480291304014,workers_m_profit,121.0
480291304021,workers_m_profit,153.0
480291304022,workers_m_profit,205.0
480291304023,workers_m_profit,151.0
480291314011,workers_m_profit,1563.0
480291314012,workers_m_profit,662.0
480291314021,workers_m_profit,99.0
480291719182,workers_m_profit,80.0
480291719184,workers_m_profit,337.0
480291719191,workers_m_profit,799.0
480291719202,workers_m_profit,1074.0
480291719211,workers_m_profit,550.0
480291719213,workers_m_profit,254.0
480291719221,workers_m_profit,781.0
480291719232,workers_m_profit,232.0
480291719233,workers_m_profit,613.0
480291719241,workers_m_profit,948.0
480291720022,workers_m_profit,982.0
480291719242,workers_m_profit,322.0
480291719252,workers_m_profit,496.0
480291719254,workers_m_profit,758.0
480291720031,workers_m_profit,432.0
480291720032,workers_m_profit,501.0
480291720051,workers_m_profit,668.0
480291720052,workers_m_profit,1092.0
480291720062,workers_m_profit,270.0
480291720063,workers_m_profit,236.0
480291720072,workers_m_profit,313.0
480291720073,workers_m_profit,885.0
480291801012,workers_m_profit,136.0
480291315031,workers_m_profit,146.0
480291315032,workers_m_profit,165.0
480291315041,workers_m_profit,186.0
480291315042,workers_m_profit,153.0
480291315051,workers_m_profit,330.0
480291315052,workers_m_profit,420.0
480291315062,workers_m_profit,548.0
480291316081,workers_m_profit,358.0
480291315071,workers_m_profit,666.0
480291315073,workers_m_profit,468.0
480291316012,workers_m_profit,376.0
480291316082,workers_m_profit,647.0
480291316092,workers_m_profit,413.0
480291316093,workers_m_profit,704.0
480291316102,workers_m_profit,398.0
